TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksD-backs‌‌‌,NL,85,2856,375,750,163,18,85,370,277,677,52,31,0.263,0.329,0.422,0.751,81,81,3.93,162,162,4,9,39,59,1433.2,1432,688,626,155,51,417,1200,1.29,0.261,False,False
Atlanta BravesBraves‌‌‌,NL,85,2886,391,748,141,18,84,372,276,667,53,15,0.259,0.324,0.408,0.732,94,68,3.42,162,162,5,16,47,60,1445.1,1310,600,549,145,41,464,1232,1.23,0.243,False,True
Baltimore OriolesOrioles‌‌‌,AL,85,2890,351,694,133,8,106,330,237,690,31,21,0.24,0.302,0.402,0.704,93,69,3.9,162,162,1,10,55,73,1483.0,1433,705,642,184,53,481,1177,1.29,0.252,False,True
Boston Red SoxRed Sox‌‌‌,AL,86,2996,432,803,208,7,99,409,259,644,37,15,0.268,0.329,0.441,0.77,69,93,4.7,162,162,6,4,35,57,1443.0,1449,806,754,190,66,529,1176,1.37,0.262,False,False
Chicago CubsCubs‌‌‌,NL,85,2873,317,712,138,21,72,295,196,640,55,28,0.248,0.3,0.386,0.686,61,101,4.51,162,162,1,9,28,49,1413.2,1399,759,708,175,65,573,1128,1.39,0.259,False,False
Chicago White SoxWhite Sox‌‌‌,AL,85,2911,409,756,118,18,103,397,252,656,58,22,0.26,0.323,0.419,0.742,85,77,4.02,162,162,6,11,37,57,1445.2,1365,676,646,186,68,503,1246,1.29,0.25,False,False
Cincinnati RedsReds‌‌‌,NL,85,2862,358,711,168,14,96,341,261,670,43,14,0.248,0.314,0.418,0.732,97,65,3.34,162,162,9,12,56,74,1453.0,1356,588,540,152,51,427,1248,1.23,0.247,False,True
Cleveland IndiansIndians‌‌‌,AL,85,2917,385,754,155,15,78,368,309,539,59,23,0.258,0.333,0.402,0.735,68,94,4.78,162,162,2,6,43,56,1442.0,1503,845,766,174,55,543,1086,1.42,0.268,False,False
Colorado RockiesRockies‌‌‌,NL,85,2923,413,783,149,31,103,394,259,630,59,15,0.268,0.33,0.446,0.776,64,98,5.22,162,162,0,7,36,63,1422.0,1637,890,824,198,47,566,1144,1.55,0.29,False,False
Detroit TigersTigers‌‌‌,AL,86,2927,387,786,160,19,82,368,259,587,33,9,0.269,0.333,0.42,0.753,88,74,3.75,162,162,9,8,40,56,1430.2,1409,670,596,151,42,438,1318,1.29,0.256,False,True
Houston AstrosAstros‌‌‌,NL,86,2890,344,707,135,16,76,319,255,702,55,20,0.245,0.311,0.381,0.692,55,107,4.56,162,162,3,11,31,50,1423.1,1493,794,721,173,48,540,1170,1.43,0.27,False,False
Kansas City RoyalsRoyals‌‌‌,AL,84,2921,344,771,165,17,68,324,214,521,55,22,0.264,0.318,0.402,0.72,72,90,4.3,162,162,2,12,44,64,1451.1,1504,746,693,163,60,542,1177,1.41,0.27,False,False
Los Angeles AngelsAngels‌‌‌,AL,86,2917,378,783,136,12,94,360,233,556,65,15,0.268,0.324,0.42,0.744,89,73,4.02,162,162,6,16,38,60,1433.1,1339,699,640,186,40,483,1157,1.27,0.246,False,False
Los Angeles DodgersDodgers‌‌‌,NL,87,2845,332,711,139,17,51,315,290,627,58,30,0.25,0.321,0.364,0.685,86,76,3.34,162,162,2,10,40,59,1449.2,1277,597,538,122,45,539,1276,1.25,0.238,False,False
Miami MarlinsMarlins‌‌‌,NL,85,2856,334,690,146,19,80,315,271,627,79,21,0.242,0.31,0.39,0.7,69,93,4.09,162,162,5,7,38,60,1440.2,1448,724,655,133,55,495,1113,1.35,0.263,False,False
Milwaukee BrewersBrewers‌‌‌,NL,85,2910,384,712,153,23,101,372,273,688,63,19,0.245,0.318,0.417,0.735,83,79,4.22,162,162,0,9,44,73,1453.2,1458,733,682,169,31,525,1402,1.36,0.261,False,False
Minnesota TwinsTwins‌‌‌,AL,85,2911,354,751,151,14,73,343,275,566,66,21,0.258,0.325,0.395,0.72,66,96,4.77,162,162,3,6,35,49,1438.2,1536,832,762,198,57,465,943,1.39,0.274,False,False
New York MetsMets‌‌‌,NL,86,2895,394,749,163,11,73,379,290,663,45,21,0.259,0.328,0.398,0.726,74,88,4.09,162,162,7,13,36,55,1434.0,1368,709,651,161,40,488,1240,1.29,0.251,False,False
New York YankeesYankees‌‌‌,AL,85,2893,412,759,152,8,134,396,302,613,47,11,0.262,0.336,0.459,0.795,95,67,3.84,162,162,6,9,51,64,1445.1,1401,668,617,190,49,431,1318,1.27,0.253,False,True
Oakland AthleticsAthletics‌‌‌,AL,86,2866,319,645,125,14,83,302,295,683,67,20,0.225,0.301,0.365,0.666,94,68,3.48,162,162,1,13,47,64,1470.0,1360,614,569,147,46,462,1136,1.24,0.245,False,True
Philadelphia PhilliesPhillies‌‌‌,NL,87,3028,368,794,146,14,84,352,213,554,63,14,0.262,0.316,0.403,0.719,81,81,3.83,162,162,5,11,42,61,1451.1,1387,680,618,178,44,409,1385,1.24,0.251,False,False
Pittsburgh PiratesPirates‌‌‌,NL,85,2810,345,690,143,17,89,330,205,689,48,30,0.246,0.3,0.404,0.704,79,83,3.86,162,162,2,10,45,59,1433.1,1357,674,615,153,45,490,1192,1.29,0.249,False,False
San Diego PadresPadres‌‌‌,NL,87,2897,305,678,149,25,53,284,287,694,74,29,0.234,0.308,0.358,0.666,76,86,4.01,162,162,4,11,43,60,1434.2,1356,710,640,162,48,539,1205,1.32,0.248,False,False
San Francisco GiantsGiants‌‌‌,NL,86,2923,338,762,136,28,51,317,241,575,67,21,0.261,0.318,0.379,0.697,94,68,3.68,162,162,5,14,53,67,1451.0,1361,649,593,142,51,489,1237,1.27,0.248,True,True
Seattle MarinersMariners‌‌‌,AL,87,2949,337,677,135,13,73,318,255,681,57,23,0.23,0.291,0.358,0.649,75,87,3.76,162,162,8,11,43,62,1456.2,1359,651,608,166,49,449,1166,1.24,0.248,False,False
St. Louis CardinalsCardinals‌‌‌,NL,86,2988,426,821,148,20,96,410,285,638,52,21,0.275,0.34,0.434,0.774,88,74,3.71,162,162,4,10,42,64,1462.2,1420,648,603,134,50,436,1218,1.27,0.255,False,True
Tampa Bay RaysRays‌‌‌,AL,86,2833,363,658,120,16,85,345,308,694,70,23,0.232,0.314,0.376,0.69,90,72,3.19,162,162,7,15,50,58,1459.2,1233,577,518,139,54,469,1383,1.17,0.228,False,False
Texas RangersRangers‌‌‌,AL,86,3010,443,844,161,19,103,430,271,601,65,26,0.28,0.343,0.449,0.792,93,69,3.99,162,162,7,10,43,52,1442.0,1378,707,639,175,41,446,1286,1.26,0.25,False,True
Toronto Blue JaysBlue Jays‌‌‌,AL,86,2956,430,750,124,13,127,401,273,626,64,25,0.254,0.32,0.433,0.753,73,89,4.64,162,162,4,11,29,44,1443.2,1439,784,745,204,55,574,1142,1.39,0.261,False,False
Washington NationalsNationals‌‌‌,NL,83,2849,348,714,172,12,90,332,253,686,59,19,0.251,0.314,0.414,0.728,98,64,3.33,162,162,3,9,51,68,1468.1,1296,594,543,129,47,497,1325,1.22,0.237,False,True
