TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,89,3061,446,793,177,23,113,424,294,798,64,20,0.259,0.328,0.443,0.771,93,69,3.66,162,162,2,11,43,63,1441.0,1309,659,586,171,38,516,1482,1.27,0.24,False,True
Atlanta Braves,NL,87,3021,405,795,164,9,88,393,250,654,37,15,0.263,0.326,0.411,0.737,72,90,4.72,162,162,0,6,36,59,1441.1,1463,821,756,192,70,584,1258,1.42,0.263,False,False
Baltimore Orioles,AL,88,3064,392,779,145,5,123,375,220,779,18,5,0.254,0.308,0.425,0.733,75,87,4.97,162,162,1,10,35,53,1441.0,1505,841,795,242,60,579,1233,1.45,0.269,False,False
Boston Red Sox,AL,89,3065,431,821,165,11,92,402,319,624,54,20,0.268,0.34,0.419,0.759,93,69,3.7,162,162,5,11,39,58,1482.1,1384,668,610,195,49,465,1580,1.25,0.245,False,True
Chicago Cubs,NL,88,2951,399,706,147,16,117,376,337,743,26,13,0.239,0.326,0.419,0.745,92,70,3.95,162,162,2,8,38,57,1447.1,1294,695,636,194,66,554,1439,1.28,0.238,False,True
Chicago White Sox,AL,87,2966,397,769,133,19,99,380,224,717,29,22,0.259,0.318,0.417,0.735,67,95,4.78,162,162,0,3,25,40,1421.2,1384,820,755,242,68,632,1193,1.42,0.254,False,False
Cincinnati Reds,NL,88,3037,424,789,155,26,125,407,277,707,75,18,0.26,0.327,0.451,0.778,68,94,5.17,162,162,2,8,33,48,1430.0,1442,869,821,248,77,631,1300,1.45,0.263,False,False
Cleveland IndiansIndians‌‌‌,AL,87,2952,421,774,186,16,103,401,322,614,44,14,0.262,0.337,0.441,0.778,102,60,3.3,162,162,7,19,37,47,1440.2,1267,564,529,163,45,406,1614,1.16,0.236,False,True
Colorado Rockies,NL,91,3122,461,840,150,21,104,442,259,799,33,23,0.269,0.328,0.43,0.758,87,75,4.51,162,162,1,9,47,62,1437.2,1453,757,721,190,50,532,1270,1.38,0.264,False,True
Detroit Tigers,AL,87,2955,409,751,156,18,104,390,301,720,29,22,0.254,0.327,0.425,0.752,64,98,5.36,162,162,2,4,32,55,1420.1,1587,894,846,218,61,538,1202,1.5,0.282,False,False
Houston Astros,AL,89,3106,527,898,197,7,148,499,291,602,52,22,0.289,0.355,0.5,0.855,101,61,4.12,162,162,1,9,45,67,1446.0,1314,700,662,192,70,522,1593,1.27,0.24,True,True
Kansas City Royals,AL,87,2961,362,735,142,12,107,341,206,661,43,9,0.248,0.3,0.413,0.713,80,82,4.61,162,162,1,6,39,60,1437.2,1480,791,737,196,52,519,1216,1.39,0.265,False,False
Los Angeles Angels,AL,92,3081,377,744,134,8,94,360,285,691,81,28,0.241,0.312,0.382,0.694,80,82,4.2,162,162,1,10,43,65,1440.2,1373,709,672,224,44,470,1312,1.28,0.251,False,False
Los Angeles Dodgers,NL,90,3016,463,771,180,8,127,433,373,793,44,15,0.256,0.342,0.447,0.789,104,58,3.38,162,162,2,16,51,68,1444.2,1226,580,543,184,40,442,1549,1.15,0.228,False,True
