TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksDiamondbacks‌‌‌,NL,88,3044,429,814,177,17,82,411,299,513,45,18,0.267,0.336,0.418,0.754,76,86,4.48,162,162,8,9,34,54,1459.2,1503,788,727,168,61,536,1115,1.4,0.267,False,False
Atlanta Braves,NL,89,3086,440,827,155,17,108,425,298,666,35,24,0.268,0.334,0.434,0.768,79,83,4.6,162,162,6,6,38,67,1441.1,1529,805,736,183,55,572,1049,1.46,0.273,False,False
Baltimore Orioles,AL,90,3135,436,854,152,13,94,413,246,475,79,15,0.272,0.333,0.419,0.752,70,92,5.35,162,162,5,9,35,56,1419.0,1579,899,843,216,48,613,1016,1.54,0.284,False,False
Boston Red Sox,AL,86,3041,486,861,173,7,114,463,378,544,29,12,0.283,0.366,0.457,0.823,86,76,4.83,162,162,3,6,46,69,1441.1,1570,825,773,181,68,509,1070,1.44,0.279,False,False
Chicago Cubs,NL,88,3007,357,796,139,24,77,335,216,479,60,28,0.265,0.317,0.404,0.721,66,96,4.74,162,162,2,7,29,46,1439.0,1396,834,758,210,67,687,1250,1.45,0.255,False,False
Chicago White Sox,AL,88,3103,520,894,155,14,133,499,297,579,57,27,0.288,0.354,0.476,0.83,90,72,4.61,162,162,5,11,46,63,1449.0,1534,794,743,200,58,433,1012,1.36,0.271,False,False
Cincinnati Reds,NL,89,3073,448,807,172,9,130,428,355,649,72,16,0.263,0.342,0.451,0.793,80,82,4.51,162,162,9,10,36,60,1445.2,1576,801,725,213,60,464,1053,1.41,0.278,False,False
Cleveland IndiansIndians‌‌‌,AL,87,3046,488,872,185,12,114,464,302,581,28,10,0.286,0.355,0.467,0.822,78,84,4.41,162,162,13,13,24,47,1423.1,1583,782,698,166,51,429,948,1.41,0.282,False,False
Colorado Rockies,NL,87,2948,411,789,172,29,80,386,282,581,33,28,0.268,0.336,0.427,0.763,76,86,4.66,162,162,5,8,34,58,1447.1,1549,812,749,155,66,553,952,1.45,0.277,False,False
Detroit Tigers,AL,88,3068,455,842,175,19,117,431,237,641,37,27,0.274,0.33,0.458,0.788,95,67,3.84,162,162,3,16,46,62,1448.0,1420,675,618,160,53,489,1003,1.32,0.257,False,True
