TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,90,3142,402,837,156,34,104,383,253,798,60,17,0.266,0.324,0.437,0.761,69,93,5.09,162,162,2,7,31,53,1451.1,1563,890,821,202,57,603,1318,1.49,0.275,False,False
Atlanta Braves,NL,89,3043,307,720,146,15,55,289,248,687,45,20,0.237,0.3,0.349,0.649,68,93,4.51,161,161,1,9,39,58,1447.2,1414,779,725,177,70,547,1227,1.35,0.256,False,False
Baltimore Orioles,AL,87,3012,442,820,169,3,137,421,264,743,12,9,0.272,0.333,0.467,0.8,89,73,4.22,162,162,1,9,54,68,1432.0,1408,715,671,183,51,545,1248,1.36,0.258,False,True
Boston Red Sox,AL,87,3092,490,903,216,19,103,467,308,617,59,10,0.292,0.359,0.474,0.833,93,69,4.0,162,162,9,5,43,61,1439.2,1342,694,640,176,65,490,1362,1.27,0.246,False,True
Chicago Cubs,NL,88,3008,460,769,161,13,120,439,375,763,33,19,0.256,0.348,0.438,0.786,103,58,3.15,162,162,5,15,38,53,1459.2,1125,556,511,163,63,495,1441,1.11,0.212,True,True
Chicago White Sox,AL,88,2989,368,749,145,20,88,349,265,718,41,22,0.251,0.316,0.401,0.717,78,84,4.1,162,162,7,10,43,71,1446.2,1422,715,659,185,68,521,1270,1.34,0.257,False,False
Cincinnati Reds,NL,89,2989,376,710,150,16,98,352,235,750,65,30,0.238,0.298,0.397,0.695,68,94,4.91,162,162,2,8,28,53,1442.0,1457,854,786,258,78,636,1241,1.45,0.263,False,False
Cleveland IndiansIndians‌‌‌,AL,88,3051,436,791,159,20,113,414,279,709,67,16,0.259,0.322,0.436,0.758,94,67,3.84,161,161,5,11,37,48,1445.0,1330,676,617,186,34,461,1398,1.24,0.243,False,True
Colorado Rockies,NL,88,3049,454,831,187,25,112,437,271,714,35,24,0.273,0.335,0.46,0.795,75,87,4.91,162,162,2,9,37,65,1429.1,1532,860,779,181,70,547,1223,1.45,0.274,False,False
Detroit Tigers,AL,89,3085,426,825,141,19,115,409,268,756,38,15,0.267,0.328,0.437,0.765,86,75,4.24,161,161,3,8,47,66,1428.0,1417,721,672,182,51,462,1232,1.32,0.26,False,False
Houston Astros,AL,89,3034,401,740,153,15,112,384,339,825,68,24,0.244,0.324,0.415,0.739,84,78,4.06,162,162,2,8,44,64,1468.0,1441,701,663,181,39,453,1396,1.29,0.256,False,False
Kansas City Royals,AL,88,3023,352,823,155,12,81,336,197,640,50,18,0.272,0.32,0.412,0.732,81,81,4.21,162,162,3,7,41,60,1440.0,1433,712,674,206,60,517,1287,1.35,0.259,False,False
Los Angeles Angels,AL,89,3037,403,809,158,10,84,388,265,524,34,19,0.266,0.328,0.408,0.736,74,88,4.28,162,162,4,12,29,50,1421.1,1480,727,676,208,56,498,1136,1.39,0.269,False,False
Los Angeles Dodgers,NL,91,3052,382,735,144,11,99,356,307,704,25,15,0.241,0.315,0.393,0.708,91,71,3.7,162,162,3,15,47,69,1453.0,1266,638,598,165,53,464,1510,1.19,0.233,False,True
Miami Marlins,NL,88,3058,371,836,143,23,77,356,251,679,28,12,0.273,0.332,0.411,0.743,79,82,4.05,161,161,0,12,55,84,1435.0,1358,682,646,152,61,595,1379,1.36,0.251,False,False
Milwaukee Brewers,NL,87,2854,342,700,135,9,89,324,319,833,77,29,0.245,0.322,0.392,0.714,73,89,4.08,162,162,0,7,46,69,1434.1,1450,733,650,178,66,532,1175,1.38,0.263,False,False
Minnesota Twins,AL,88,3031,395,767,152,18,105,376,282,743,59,17,0.253,0.32,0.419,0.739,59,103,5.08,162,162,4,3,26,46,1443.0,1617,889,814,221,41,479,1191,1.45,0.283,False,False
New York Mets,NL,88,2917,335,693,132,9,122,327,283,756,18,10,0.238,0.311,0.414,0.725,87,75,3.57,162,162,1,13,55,71,1447.0,1397,617,574,152,35,439,1396,1.27,0.254,False,True
New York Yankees,AL,88,2973,371,749,133,11,93,349,253,611,44,13,0.252,0.313,0.398,0.711,84,78,4.16,162,162,0,10,48,64,1428.1,1358,702,660,214,57,444,1393,1.26,0.248,False,False
Oakland Athletics,AL,89,3036,366,761,142,16,90,355,222,596,36,13,0.251,0.304,0.397,0.701,69,93,4.51,162,162,2,7,42,65,1433.1,1459,761,718,185,50,464,1188,1.34,0.263,False,False
Philadelphia Phillies,NL,90,2981,328,727,135,23,89,311,209,704,39,28,0.244,0.296,0.394,0.69,71,91,4.63,162,162,4,12,43,63,1437.0,1468,796,739,213,51,466,1299,1.35,0.265,False,False
Pittsburgh Pirates,NL,89,3080,423,814,160,19,88,403,293,748,68,22,0.264,0.337,0.414,0.751,78,83,4.21,162,162,5,5,51,71,1450.2,1490,758,679,180,68,533,1232,1.39,0.267,False,False
San Diego Padres,NL,89,3031,393,739,152,10,100,378,243,812,72,22,0.244,0.303,0.4,0.703,68,94,4.43,162,162,1,9,35,53,1440.0,1425,770,708,183,53,569,1222,1.38,0.258,False,False
San Francisco Giants,NL,90,3076,424,809,158,29,75,401,325,596,47,20,0.263,0.336,0.406,0.742,87,75,3.65,162,162,10,11,43,72,1460.1,1334,631,593,158,46,439,1309,1.21,0.243,False,True
Seattle Mariners,AL,89,3074,435,808,141,10,132,419,272,688,25,21,0.263,0.328,0.444,0.772,86,76,4.0,162,162,2,8,49,74,1457.0,1410,707,647,213,55,460,1318,1.28,0.253,False,False
St. Louis Cardinals,NL,88,3044,455,796,166,22,117,438,308,682,20,16,0.261,0.335,0.446,0.781,86,76,4.08,162,162,2,10,38,55,1448.1,1432,712,656,159,52,475,1290,1.32,0.258,False,False
Tampa Bay Rays,AL,88,2965,344,711,150,15,118,334,252,812,31,21,0.24,0.306,0.42,0.726,68,94,4.2,162,162,1,8,42,60,1426.1,1395,713,665,210,32,491,1357,1.32,0.255,False,False
Texas Rangers,AL,90,3078,443,822,142,14,111,429,239,668,53,20,0.267,0.324,0.43,0.754,95,67,4.37,162,162,1,6,56,73,1443.0,1441,757,700,201,53,534,1154,1.37,0.26,False,True
Toronto Blue Jays,AL,91,3105,447,786,160,14,131,429,347,760,31,14,0.253,0.334,0.44,0.774,89,73,3.78,162,162,0,10,43,66,1459.1,1340,666,613,183,59,461,1314,1.23,0.242,False,True
Washington Nationals,NL,90,3043,422,766,143,14,124,411,323,684,54,24,0.252,0.327,0.43,0.757,95,67,3.51,162,162,1,12,46,60,1459.2,1272,612,570,155,57,468,1476,1.19,0.234,False,True
