TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,86,3010,456,837,190,19,75,437,244,428,69,30,0.278,0.337,0.429,0.766,99,63,3.69,162,162,7,14,54,70,1452.1,1345,644,595,169,49,509,999,1.28,0.247,True,True
Arizona DiamondbacksDiamondbacks‌‌‌,NL,87,2940,425,790,157,24,82,412,337,515,55,25,0.269,0.346,0.422,0.768,98,64,3.93,162,162,14,10,40,59,1446.2,1361,674,631,170,54,421,1303,1.23,0.247,False,True
Atlanta BravesBraves‌‌‌,NL,88,3038,389,783,143,15,89,368,280,561,47,23,0.258,0.323,0.403,0.726,101,59,3.13,161,161,3,15,57,71,1467.1,1302,565,511,123,42,554,1058,1.26,0.24,False,True
Baltimore OriolesOrioles‌‌‌,AL,85,2880,386,734,172,18,88,365,250,536,69,27,0.255,0.319,0.419,0.738,67,95,4.46,162,162,8,3,31,46,1450.2,1491,773,719,208,54,549,967,1.41,0.266,False,False
Boston Red SoxRed Sox‌‌‌,AL,85,2944,448,820,171,22,86,424,281,485,57,18,0.279,0.345,0.439,0.784,93,69,3.75,162,162,5,17,51,68,1446.0,1339,665,603,146,84,430,1157,1.22,0.246,False,False
Chicago CubsCubs‌‌‌,NL,86,2864,356,687,134,17,101,343,315,619,44,12,0.24,0.319,0.404,0.723,67,95,4.29,162,162,11,9,23,48,1441.1,1373,759,687,167,58,606,1333,1.37,0.253,False,False
Chicago White SoxWhite Sox‌‌‌,AL,88,2959,474,785,158,18,107,453,301,521,60,20,0.265,0.334,0.439,0.773,81,81,4.53,162,162,7,7,35,46,1423.0,1422,798,716,190,60,528,945,1.37,0.26,False,False
Cincinnati RedsReds‌‌‌,NL,87,2915,377,744,148,12,82,364,308,599,57,28,0.255,0.332,0.399,0.731,78,84,4.27,162,162,2,8,42,57,1453.2,1502,774,690,173,56,550,980,1.41,0.269,False,False
Cleveland IndiansIndians‌‌‌,AL,86,2794,342,666,119,17,91,327,314,527,29,28,0.238,0.32,0.391,0.711,74,88,4.91,162,162,9,4,34,53,1424.2,1508,837,777,142,57,603,1058,1.48,0.274,False,False
Colorado RockiesRockies‌‌‌,NL,88,2994,433,817,150,21,92,408,288,570,58,27,0.273,0.339,0.429,0.768,73,89,5.2,162,162,1,8,43,59,1426.2,1554,898,825,225,64,582,920,1.5,0.277,False,False
Detroit TigersTigers‌‌‌,AL,85,2863,327,732,154,24,70,314,198,508,35,26,0.256,0.309,0.4,0.709,55,106,4.92,161,161,11,7,33,53,1414.0,1593,864,773,163,62,463,794,1.45,0.285,False,False
Florida MarlinsMarlins‌‌‌,NL,88,3015,413,800,164,18,87,384,357,631,106,43,0.265,0.348,0.418,0.766,79,83,4.36,162,162,11,12,36,55,1456.1,1449,763,706,151,58,631,1104,1.43,0.262,False,False
Houston AstrosAstros‌‌‌,NL,86,2942,410,764,164,14,90,391,312,614,45,16,0.26,0.337,0.417,0.754,84,78,4.0,162,162,2,11,43,58,1445.0,1423,695,642,151,55,546,1219,1.36,0.26,False,False
Kansas City RoyalsRoyals‌‌‌,AL,85,2824,372,699,158,24,71,346,279,467,78,30,0.248,0.317,0.396,0.713,62,100,5.21,162,162,12,6,30,54,1441.0,1587,891,834,212,52,572,909,1.5,0.281,False,False
Los Angeles DodgersDodgers‌‌‌,NL,88,2991,391,787,169,14,86,380,231,507,46,20,0.263,0.319,0.415,0.734,92,70,3.69,162,162,4,15,56,71,1457.2,1311,643,598,165,46,555,1132,1.28,0.242,False,False
Milwaukee BrewersBrewers‌‌‌,NL,88,2961,369,779,149,23,78,351,273,620,53,33,0.263,0.33,0.408,0.738,56,106,4.73,162,162,7,4,32,42,1432.1,1468,821,752,199,62,666,1026,1.49,0.268,False,False
Minnesota TwinsTwins‌‌‌,AL,89,3120,449,860,199,21,86,431,276,613,47,37,0.276,0.338,0.436,0.774,94,67,4.12,161,161,8,9,47,65,1444.2,1454,712,662,184,45,439,1026,1.31,0.261,False,True
Montreal ExposExpos‌‌‌,NL,87,2941,395,776,159,18,83,373,315,557,52,36,0.264,0.339,0.415,0.754,83,79,3.98,162,162,9,3,39,59,1453.0,1475,718,642,165,46,508,1088,1.36,0.265,False,False
New York MetsMets‌‌‌,NL,87,2977,368,743,132,11,78,343,264,592,43,25,0.25,0.317,0.38,0.697,75,86,3.91,161,161,9,10,36,51,1442.2,1408,703,626,163,55,543,1107,1.35,0.256,False,False
New York YankeesYankees‌‌‌,AL,87,3003,499,843,164,10,134,483,346,650,54,19,0.281,0.359,0.476,0.835,103,58,3.87,161,161,9,11,53,69,1452.0,1441,697,625,144,48,403,1135,1.27,0.256,False,True
Oakland AthleticsAthletics‌‌‌,AL,88,2998,420,774,160,12,109,403,320,585,19,8,0.258,0.335,0.429,0.764,103,59,3.68,162,162,9,19,48,68,1452.0,1391,654,593,135,62,474,1021,1.28,0.252,False,True
Philadelphia PhilliesPhillies‌‌‌,NL,86,2903,385,747,177,23,86,365,345,598,49,20,0.257,0.339,0.423,0.762,80,81,4.17,161,161,5,9,47,71,1449.2,1381,724,671,153,70,570,1075,1.35,0.252,False,False
Pittsburgh PiratesPirates‌‌‌,NL,87,2856,314,688,143,9,69,296,248,608,56,37,0.241,0.308,0.37,0.678,72,89,4.23,161,161,2,7,47,66,1412.2,1447,730,664,163,55,572,920,1.43,0.268,False,False
San Diego PadresPadres‌‌‌,NL,88,2961,340,722,123,14,68,324,329,551,31,28,0.244,0.32,0.364,0.684,66,96,4.64,162,162,5,10,40,62,1436.1,1522,815,740,177,66,582,1108,1.46,0.274,False,False
San Francisco GiantsGiants‌‌‌,NL,87,2969,430,790,156,16,107,416,313,500,35,11,0.266,0.342,0.438,0.78,95,66,3.54,162,162,10,13,43,60,1437.1,1349,616,566,116,36,523,992,1.3,0.251,False,True
Seattle MarinersMariners‌‌‌,AL,88,3000,460,832,150,22,84,437,352,523,84,32,0.277,0.355,0.426,0.781,93,69,4.07,162,162,8,12,43,64,1445.1,1422,699,654,178,49,441,1063,1.29,0.257,False,False
St. Louis CardinalsCardinals‌‌‌,NL,85,2862,392,750,153,12,91,381,286,468,54,25,0.262,0.333,0.419,0.752,97,65,3.7,162,162,4,9,42,63,1446.1,1355,648,595,141,60,547,1009,1.32,0.251,False,True
Tampa Bay Devil RaysDevil Rays‌‌‌,AL,85,2978,338,730,158,16,69,325,237,586,53,21,0.245,0.306,0.378,0.684,55,106,5.29,161,161,12,3,25,46,1440.1,1567,918,846,215,94,620,925,1.52,0.279,False,False
Texas RangersRangers‌‌‌,AL,86,2965,428,788,161,15,109,406,288,536,42,15,0.266,0.334,0.44,0.774,72,90,5.16,162,162,4,4,33,65,1439.2,1528,882,825,194,76,669,1030,1.53,0.272,False,False
Toronto Blue JaysBlue Jays‌‌‌,AL,86,2944,402,724,163,14,101,381,296,632,39,10,0.246,0.317,0.414,0.731,78,84,4.8,162,162,6,6,41,70,1438.1,1504,828,767,177,71,590,991,1.46,0.269,False,False
