TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksD-backs‌‌‌,NL,91,3221,464,834,178,21,129,444,276,770,50,6,0.259,0.322,0.447,0.769,85,77,4.25,162,162,0,11,45,69,1465.0,1400,743,691,220,62,516,1427,1.31,0.251,False,False
Atlanta BravesBraves‌‌‌,NL,91,3147,491,828,164,18,143,474,327,789,36,16,0.263,0.337,0.463,0.8,97,65,4.19,162,162,1,8,44,67,1450.2,1421,743,675,203,69,548,1393,1.36,0.256,False,True
Baltimore OriolesOrioles‌‌‌,AL,89,3045,375,732,139,14,108,352,243,805,43,18,0.24,0.303,0.402,0.705,54,108,5.59,162,162,0,5,27,54,1443.0,1544,981,897,305,80,561,1248,1.46,0.271,False,False
Boston Red SoxRed Sox‌‌‌,AL,90,3210,509,874,184,15,131,480,344,751,49,16,0.272,0.345,0.461,0.806,84,78,4.7,162,162,1,8,33,64,1471.0,1423,828,768,215,76,605,1633,1.38,0.251,False,False
Chicago CubsCubs‌‌‌,NL,90,3035,455,770,152,15,140,438,345,812,24,16,0.254,0.336,0.452,0.788,84,78,4.1,162,162,1,10,38,66,1442.0,1376,717,657,195,80,534,1444,1.32,0.251,False,False
Chicago White SoxWhite Sox‌‌‌,AL,86,2902,378,745,130,6,103,362,211,808,44,19,0.257,0.314,0.412,0.726,72,89,4.9,161,161,6,7,33,50,1412.2,1438,832,769,238,51,582,1312,1.43,0.263,False,False
Cincinnati RedsReds‌‌‌,NL,87,2899,368,681,118,13,117,356,260,764,39,22,0.235,0.306,0.406,0.712,75,87,4.18,162,162,0,10,46,69,1438.0,1270,711,668,214,58,536,1552,1.26,0.235,False,False
Cleveland IndiansIndians‌‌‌,AL,88,2922,396,713,140,11,115,368,319,735,60,21,0.244,0.322,0.418,0.74,93,69,3.76,162,162,6,16,42,58,1437.2,1308,657,601,207,62,450,1508,1.22,0.24,False,False
Colorado RockiesRockies‌‌‌,NL,89,3132,490,832,189,28,115,471,264,845,30,20,0.266,0.325,0.454,0.779,71,91,5.56,162,162,1,5,28,53,1448.2,1576,958,895,270,57,589,1264,1.49,0.277,False,False
Detroit TigersTigers‌‌‌,AL,86,2931,311,681,162,22,77,296,233,841,35,12,0.232,0.293,0.381,0.674,47,114,5.24,161,161,0,3,31,56,1433.0,1555,915,835,250,69,536,1368,1.46,0.275,False,False
Houston AstrosAstros‌‌‌,AL,90,3072,458,826,171,13,142,448,341,624,42,20,0.269,0.344,0.472,0.816,107,55,3.66,162,162,2,14,47,67,1462.1,1205,640,595,230,41,448,1671,1.13,0.221,False,True
Kansas City RoyalsRoyals‌‌‌,AL,91,3092,382,757,160,28,87,367,254,800,84,26,0.245,0.307,0.399,0.706,59,103,5.2,162,162,1,7,37,60,1425.0,1525,869,824,221,81,582,1230,1.48,0.273,False,False
Los Angeles AngelsAngels‌‌‌,AL,91,3120,457,810,148,8,132,435,329,625,33,13,0.26,0.336,0.439,0.775,72,90,5.12,162,162,0,2,32,47,1442.2,1417,868,820,267,82,576,1404,1.38,0.254,False,False
Los Angeles DodgersDodgers‌‌‌,NL,92,3112,480,818,165,14,146,466,347,726,30,7,0.263,0.342,0.466,0.808,106,56,3.37,162,162,3,18,44,73,1445.2,1201,613,541,185,66,392,1519,1.1,0.223,False,True
Miami MarlinsMarlins‌‌‌,NL,88,2995,312,720,140,4,68,303,212,789,24,15,0.24,0.297,0.358,0.655,57,105,4.74,162,162,2,8,27,49,1444.1,1340,808,760,236,90,615,1378,1.35,0.245,False,False
Milwaukee BrewersBrewers‌‌‌,NL,91,3121,432,765,145,6,155,421,345,864,56,15,0.245,0.326,0.444,0.77,89,73,4.4,162,162,0,7,50,78,1459.1,1364,766,713,225,60,570,1497,1.33,0.246,False,True
Minnesota TwinsTwins‌‌‌,AL,89,3168,509,861,188,13,166,489,270,715,23,15,0.272,0.336,0.497,0.833,101,61,4.18,162,162,1,10,50,72,1463.1,1456,754,680,198,61,452,1463,1.3,0.257,False,True
New York MetsMets‌‌‌,NL,90,3109,420,791,153,9,126,408,287,793,36,15,0.254,0.326,0.431,0.757,86,76,4.24,162,162,3,12,38,65,1461.0,1405,737,688,204,60,500,1520,1.3,0.251,False,False
New York YankeesYankees‌‌‌,AL,88,3004,503,795,136,8,149,480,327,785,35,13,0.265,0.34,0.464,0.804,103,59,4.31,162,162,1,9,50,78,1443.0,1374,739,691,248,44,507,1534,1.3,0.248,False,True
Oakland AthleticsAthletics‌‌‌,AL,92,3179,469,782,163,10,146,438,307,716,29,15,0.246,0.319,0.441,0.76,97,65,3.97,162,162,1,12,45,77,1465.0,1342,680,646,201,66,477,1299,1.24,0.242,False,True
Philadelphia PhilliesPhillies‌‌‌,NL,90,3057,442,753,171,13,115,421,334,775,36,13,0.246,0.325,0.424,0.749,81,81,4.53,162,162,3,7,36,57,1453.2,1452,794,731,258,71,546,1392,1.37,0.261,False,False
Pittsburgh PiratesPirates‌‌‌,NL,89,3133,432,848,185,21,98,425,242,700,34,11,0.271,0.327,0.437,0.764,69,93,5.18,162,162,1,6,31,56,1440.0,1511,911,829,241,85,584,1443,1.45,0.268,False,False
San Diego PadresPadres‌‌‌,NL,90,3017,402,729,128,12,139,390,253,873,44,14,0.242,0.305,0.43,0.735,70,92,4.6,162,162,0,6,47,73,1432.0,1394,789,732,215,68,463,1475,1.3,0.251,False,False
San Francisco GiantsGiants‌‌‌,NL,89,2977,369,685,166,16,88,360,267,764,25,15,0.23,0.297,0.385,0.682,77,85,4.38,162,162,1,8,41,63,1469.0,1395,773,715,227,65,519,1368,1.3,0.249,False,False
Seattle MarinersMariners‌‌‌,AL,94,3231,479,786,158,11,160,465,350,911,62,23,0.243,0.321,0.448,0.769,68,94,4.99,162,162,3,4,34,63,1439.1,1484,893,798,260,51,505,1239,1.38,0.263,False,False
St. Louis CardinalsCardinals‌‌‌,NL,88,2969,393,725,128,9,107,369,294,742,59,14,0.244,0.319,0.401,0.72,91,71,3.8,162,162,1,14,52,73,1444.0,1284,662,609,191,69,545,1399,1.27,0.238,False,True
Tampa Bay RaysRays‌‌‌,AL,91,3163,415,802,161,19,112,394,296,860,57,21,0.254,0.326,0.423,0.749,96,66,3.65,162,162,0,12,46,75,1474.1,1274,656,598,181,60,453,1621,1.17,0.23,False,True
Texas RangersRangers‌‌‌,AL,90,3079,485,781,185,15,125,459,316,900,72,26,0.254,0.328,0.445,0.773,78,84,5.06,162,162,4,9,33,47,1438.0,1515,878,808,241,70,583,1379,1.46,0.269,False,False
Toronto Blue JaysBlue Jays‌‌‌,AL,91,3056,393,709,142,10,128,375,285,827,27,9,0.232,0.3,0.411,0.711,67,95,4.79,162,162,1,7,33,43,1440.1,1450,828,767,228,69,604,1332,1.43,0.259,False,False
Washington NationalsNationals‌‌‌,NL,89,3004,440,764,147,14,125,419,295,750,54,18,0.254,0.328,0.437,0.765,93,69,4.27,162,162,1,13,40,69,1439.1,1340,724,683,202,61,517,1511,1.29,0.244,True,True
