TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,97,3255,421,747,153,32,107,400,344,885,52,18,0.229,0.307,0.395,0.702,82,80,3.72,162,162,2,9,39,66,1463.0,1313,644,605,174,57,522,1448,1.25,0.239,False,False
Atlanta Braves,NL,94,3294,456,850,194,16,101,435,306,752,51,22,0.258,0.326,0.419,0.745,90,72,3.75,162,162,2,11,40,60,1456.2,1236,657,607,153,52,635,1423,1.28,0.229,False,True
Baltimore Orioles,AL,97,3296,345,748,151,9,111,334,264,845,36,10,0.227,0.29,0.379,0.669,47,115,5.18,162,162,2,7,28,46,1431.0,1552,892,824,234,67,589,1203,1.5,0.276,False,False
Boston Red Sox,AL,98,3415,530,928,215,17,134,505,324,749,74,14,0.272,0.339,0.462,0.801,108,54,3.75,162,162,2,14,46,66,1458.2,1305,647,608,176,84,512,1558,1.25,0.237,True,True
Chicago Cubs,NL,93,3277,476,869,182,22,100,457,365,796,45,22,0.265,0.345,0.426,0.771,95,68,3.65,163,163,1,18,46,65,1476.1,1319,645,598,157,66,622,1333,1.31,0.24,False,True
Chicago White Sox,AL,95,3237,384,790,153,28,101,376,242,904,71,21,0.244,0.303,0.402,0.705,62,100,4.83,162,162,0,8,34,53,1437.0,1404,848,771,196,89,653,1259,1.43,0.254,False,False
Cincinnati Reds,NL,96,3330,461,866,154,13,101,443,376,795,49,16,0.26,0.341,0.405,0.746,67,95,4.63,162,162,1,6,38,57,1441.0,1491,819,741,228,50,532,1258,1.4,0.266,False,False
Cleveland IndiansIndians‌‌‌,AL,95,3292,487,841,189,8,132,470,317,749,74,16,0.255,0.326,0.438,0.764,91,71,3.77,162,162,5,17,41,58,1457.1,1349,648,611,200,59,407,1544,1.2,0.242,False,True
Colorado Rockies,NL,96,3270,467,843,160,24,124,448,292,822,51,21,0.258,0.322,0.435,0.757,91,72,4.33,163,163,0,10,51,78,1452.1,1377,745,699,184,52,525,1409,1.31,0.25,False,True
Detroit Tigers,AL,98,3354,386,821,187,23,80,368,257,800,44,23,0.245,0.303,0.386,0.689,64,98,4.58,162,162,0,2,37,61,1425.1,1423,796,726,216,60,491,1215,1.34,0.258,False,False
Houston Astros,AL,99,3364,500,879,183,9,126,482,350,754,53,17,0.261,0.334,0.433,0.767,103,59,3.11,162,162,3,12,46,67,1455.0,1164,534,503,152,66,435,1687,1.1,0.217,False,True
Kansas City Royals,AL,95,3237,337,773,158,13,78,318,240,740,43,22,0.239,0.299,0.368,0.667,58,104,4.94,162,162,2,8,33,57,1432.0,1542,833,786,205,51,549,1157,1.46,0.275,False,False
Los Angeles Angels,AL,97,3305,425,805,146,12,130,405,316,745,45,11,0.244,0.316,0.413,0.729,80,82,4.15,162,162,1,9,35,61,1437.1,1353,722,662,205,65,546,1386,1.32,0.248,False,False
Los Angeles Dodgers,NL,96,3244,453,792,174,19,129,424,364,805,31,16,0.244,0.325,0.429,0.754,92,71,3.38,163,163,0,11,48,74,1476.0,1279,610,554,179,61,422,1565,1.15,0.23,False,True
Miami Marlins,NL,98,3387,376,832,139,18,80,354,293,840,28,18,0.246,0.313,0.368,0.681,63,98,4.76,161,161,1,12,30,53,1442.0,1388,809,762,192,71,605,1249,1.38,0.254,False,False
Milwaukee Brewers,NL,98,3297,426,807,148,9,124,401,320,900,79,21,0.245,0.316,0.408,0.724,96,67,3.73,163,163,0,14,49,74,1461.0,1259,659,606,173,61,553,1428,1.24,0.233,False,True
Minnesota Twins,AL,94,3220,424,787,197,15,98,400,325,786,31,12,0.244,0.316,0.406,0.722,78,84,4.5,162,162,2,7,37,65,1443.1,1425,775,721,198,80,573,1377,1.38,0.256,False,False
New York Mets,NL,94,3140,363,715,147,17,97,353,333,810,35,19,0.228,0.307,0.378,0.685,77,85,4.07,162,162,3,15,41,59,1460.2,1364,707,661,185,71,484,1446,1.27,0.246,False,False
New York Yankees,AL,95,3256,493,821,180,12,161,476,364,866,41,14,0.252,0.33,0.463,0.793,100,62,3.78,162,162,2,11,49,67,1456.1,1311,669,611,177,58,494,1634,1.24,0.237,False,True
Oakland Athletics,AL,97,3336,449,821,182,12,127,432,308,840,21,16,0.246,0.316,0.422,0.738,97,65,3.81,162,162,2,14,44,62,1465.2,1303,674,621,184,53,474,1237,1.21,0.236,False,True
Philadelphia Phillies,NL,95,3163,411,745,144,16,104,396,366,903,39,15,0.236,0.319,0.39,0.709,80,82,4.14,162,162,0,12,44,64,1445.2,1366,728,665,171,60,500,1465,1.29,0.249,False,False
Pittsburgh Pirates,NL,97,3275,425,820,167,27,97,409,298,732,45,20,0.25,0.317,0.407,0.724,82,79,4.0,161,161,3,16,40,60,1434.0,1380,693,637,174,69,497,1336,1.31,0.251,False,False
San Diego Padres,NL,99,3312,365,770,153,17,87,343,293,934,56,25,0.232,0.298,0.368,0.666,66,96,4.4,162,162,0,5,36,53,1457.0,1430,767,713,185,68,519,1399,1.34,0.256,False,False
San Francisco Giants,NL,98,3375,399,850,174,17,91,379,301,853,37,21,0.252,0.317,0.394,0.711,73,89,3.95,162,162,1,15,36,66,1461.1,1387,699,641,156,45,524,1269,1.31,0.251,False,False
Seattle Mariners,AL,97,3291,412,849,155,15,110,396,258,751,51,24,0.258,0.319,0.414,0.733,89,73,4.13,162,162,3,12,60,81,1448.2,1396,711,664,195,72,400,1328,1.24,0.252,False,False
St. Louis Cardinals,NL,94,3183,413,778,129,5,118,394,300,813,33,22,0.244,0.315,0.399,0.714,88,74,3.85,162,162,1,8,43,64,1455.1,1354,691,622,144,67,593,1337,1.34,0.246,False,False
Tampa Bay Rays,AL,96,3292,401,842,156,20,88,376,306,847,60,28,0.256,0.327,0.396,0.723,90,72,3.74,162,162,0,14,52,74,1448.1,1236,646,602,164,53,501,1421,1.2,0.23,False,False
Texas Rangers,AL,97,3252,424,768,157,16,109,400,346,916,52,19,0.236,0.319,0.395,0.714,67,95,4.92,162,162,1,5,42,56,1431.0,1516,848,783,222,72,491,1121,1.4,0.271,False,False
Toronto Blue Jays,AL,95,3224,423,767,181,12,126,406,316,819,28,16,0.238,0.31,0.419,0.729,73,89,4.85,162,162,0,3,39,59,1433.2,1476,832,772,208,67,551,1298,1.41,0.265,False,False
Washington Nationals,NL,96,3239,417,791,151,11,112,398,354,786,68,22,0.244,0.322,0.401,0.723,82,80,4.04,162,162,2,7,40,54,1446.0,1320,682,649,198,76,487,1417,1.25,0.242,False,False
