TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,91,3080,449,794,173,18,105,427,301,700,93,13,0.258,0.326,0.428,0.754,84,78,4.48,162,162,1,9,44,71,1435.1,1375,761,714,197,48,525,1351,1.32,0.251,False,True
Atlanta Braves,NL,89,3054,499,826,153,8,169,480,294,728,70,12,0.27,0.338,0.492,0.83,104,58,4.14,162,162,1,15,52,78,1440.0,1341,716,662,187,70,534,1516,1.3,0.245,False,True
Baltimore Orioles,AL,89,3016,442,764,162,14,107,429,299,739,63,17,0.253,0.324,0.423,0.747,101,61,3.89,162,162,0,12,49,80,1453.2,1334,678,629,177,63,473,1431,1.24,0.242,False,True
Boston Red Sox,AL,91,3121,451,823,206,12,94,432,290,743,61,13,0.264,0.333,0.428,0.761,78,84,4.52,162,162,0,5,43,59,1430.0,1416,776,718,208,83,497,1423,1.34,0.256,False,False
Chicago Cubs,NL,89,3011,410,742,133,15,96,396,320,816,67,19,0.246,0.325,0.396,0.721,83,79,4.08,162,162,1,13,35,57,1435.1,1328,723,651,179,64,513,1377,1.28,0.244,False,False
Chicago White Sox,AL,92,3139,382,743,156,9,103,371,229,810,54,14,0.237,0.296,0.391,0.687,61,101,4.87,162,162,2,7,28,57,1431.2,1372,841,774,214,91,654,1470,1.42,0.249,False,False
Cincinnati Reds,NL,91,3095,454,795,162,19,98,437,337,812,112,24,0.257,0.337,0.416,0.753,82,80,4.83,162,162,0,6,53,79,1439.1,1426,821,772,222,81,613,1381,1.42,0.257,False,False
Cleveland Guardians,AL,90,3070,365,769,165,19,60,339,268,638,73,19,0.25,0.314,0.375,0.689,76,86,3.96,162,162,1,13,47,81,1444.0,1352,697,635,173,51,534,1311,1.31,0.246,False,False
Colorado Rockies,NL,91,3075,393,784,180,13,81,377,251,820,34,13,0.255,0.315,0.401,0.716,59,103,5.67,162,162,0,6,32,66,1414.0,1599,957,891,234,86,586,1129,1.55,0.288,False,False
Detroit Tigers,AL,89,3013,346,695,135,15,82,335,287,798,42,13,0.231,0.3,0.367,0.667,78,84,4.24,162,162,0,15,41,63,1442.1,1320,740,680,187,50,476,1374,1.25,0.24,False,False
Houston Astros,AL,91,3069,417,758,152,7,108,401,286,707,66,17,0.247,0.316,0.407,0.723,90,72,3.94,162,162,2,7,42,61,1445.1,1312,698,632,201,75,537,1460,1.28,0.241,False,True
Kansas City Royals,AL,91,3031,337,702,145,21,78,322,238,829,76,24,0.232,0.295,0.371,0.666,56,106,5.17,162,162,3,6,28,53,1409.0,1429,859,809,207,73,553,1270,1.41,0.262,False,False
Los Angeles Angels,AL,91,3086,443,789,143,14,135,427,310,808,44,17,0.256,0.33,0.442,0.772,73,89,4.64,162,162,1,9,43,72,1431.2,1394,829,738,209,88,636,1445,1.42,0.252,False,False
Los Angeles Dodgers,NL,89,3007,494,733,161,14,149,478,366,784,54,12,0.244,0.33,0.455,0.785,100,62,4.06,162,162,0,15,44,61,1446.1,1284,699,652,200,73,454,1388,1.2,0.236,False,True
Miami Marlins,NL,92,3120,386,827,146,11,87,366,254,739,56,16,0.265,0.324,0.403,0.727,84,78,4.21,162,162,3,9,43,74,1435.1,1340,723,672,191,71,514,1490,1.29,0.246,False,True
