TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,86,2937,380,767,137,11,91,359,252,533,33,24,0.261,0.323,0.408,0.731,70,92,4.79,162,162,4,7,37,55,1431.1,1472,826,762,177,56,624,877,1.46,0.269,False,False
Arizona DiamondbacksDiamondbacks‌‌‌,NL,89,3141,496,870,165,24,118,474,314,573,83,18,0.277,0.345,0.457,0.802,100,62,3.77,162,162,16,9,42,65,1467.1,1387,676,615,176,49,543,1198,1.32,0.249,False,True
Atlanta BravesBraves‌‌‌,NL,89,3075,459,815,164,15,108,434,323,525,76,37,0.265,0.337,0.433,0.77,103,59,3.63,162,162,9,9,45,63,1471.0,1398,661,593,142,26,507,1197,1.3,0.251,False,True
Baltimore OriolesOrioles‌‌‌,AL,87,3061,477,869,157,10,122,455,354,454,57,25,0.284,0.36,0.461,0.821,78,84,4.77,162,162,17,11,33,58,1435.0,1468,815,760,198,49,647,982,1.47,0.269,False,False
Boston Red SoxRed Sox‌‌‌,AL,88,3023,427,832,187,24,88,415,308,497,45,26,0.275,0.345,0.44,0.785,94,68,4.0,162,162,6,12,50,72,1436.2,1396,718,638,160,55,469,1131,1.3,0.253,False,True
Chicago CubsCubs‌‌‌,NL,85,2893,432,769,129,21,116,412,313,602,36,24,0.266,0.339,0.445,0.784,67,95,5.27,162,162,11,6,32,57,1430.2,1619,920,837,221,27,529,980,1.5,0.286,False,False
Chicago White SoxWhite Sox‌‌‌,AL,85,2952,417,835,157,21,90,396,256,415,56,29,0.283,0.341,0.442,0.783,75,86,4.92,162,162,6,3,39,56,1438.1,1608,870,786,210,61,596,968,1.53,0.282,False,False
Cincinnati RedsReds‌‌‌,NL,85,2936,443,806,163,23,100,420,280,580,93,27,0.275,0.339,0.448,0.787,96,67,3.98,163,163,6,11,55,76,1462.0,1309,711,647,190,45,636,1081,1.33,0.241,False,False
Cleveland IndiansIndians‌‌‌,AL,87,3048,571,901,160,22,118,538,401,554,75,29,0.296,0.378,0.479,0.857,97,65,4.89,162,162,3,6,46,67,1450.1,1503,860,788,197,54,634,1120,1.47,0.268,False,True
Colorado RockiesRockies‌‌‌,NL,86,3015,488,865,149,24,116,463,256,456,37,23,0.287,0.345,0.468,0.813,72,90,6.01,162,162,11,2,33,51,1429.0,1700,1028,955,237,60,737,1032,1.71,0.301,False,False
Detroit TigersTigers‌‌‌,AL,88,2972,404,769,154,16,104,381,241,564,63,42,0.259,0.322,0.426,0.748,69,92,5.17,161,161,4,6,33,42,1421.0,1528,882,817,209,70,583,976,1.49,0.276,False,False
Florida MarlinsMarlins‌‌‌,NL,88,3014,392,792,144,27,73,375,261,620,32,28,0.263,0.326,0.401,0.727,64,98,4.9,162,162,6,5,33,52,1435.2,1560,852,781,171,54,655,943,1.54,0.281,False,False
Houston AstrosAstros‌‌‌,NL,88,2983,448,795,179,13,90,428,374,643,106,43,0.267,0.351,0.426,0.777,97,65,3.83,162,162,12,8,48,63,1458.2,1485,675,620,128,40,478,1204,1.35,0.267,False,True
Kansas City RoyalsRoyals‌‌‌,AL,87,3069,483,868,170,30,80,448,306,505,61,24,0.283,0.351,0.436,0.787,64,97,5.35,161,161,11,3,29,59,1420.2,1607,921,844,202,68,643,831,1.58,0.288,False,False
Los Angeles DodgersDodgers‌‌‌,NL,86,2948,397,775,133,14,95,379,309,540,82,38,0.263,0.336,0.414,0.75,77,85,4.45,162,162,8,6,37,53,1453.0,1438,787,718,192,62,594,1077,1.4,0.258,False,False
Milwaukee BrewersBrewers‌‌‌,NL,86,3001,463,850,168,15,106,442,354,581,43,18,0.283,0.361,0.455,0.816,74,87,5.07,161,161,2,5,40,67,1442.2,1618,886,813,213,51,616,987,1.55,0.284,False,False
Minnesota TwinsTwins‌‌‌,AL,86,3006,387,815,160,16,61,358,253,508,57,33,0.271,0.331,0.396,0.727,63,97,5.0,161,161,13,8,34,52,1423.1,1591,845,791,208,28,487,927,1.46,0.283,False,False
Montreal ExposExpos‌‌‌,NL,84,2894,363,765,176,24,82,347,228,510,40,30,0.264,0.324,0.427,0.751,68,94,4.69,162,162,6,4,44,65,1434.1,1505,853,748,152,60,572,1043,1.45,0.27,False,False
New York MetsMets‌‌‌,NL,89,3017,453,830,161,10,103,437,400,552,90,34,0.275,0.362,0.438,0.8,97,66,4.27,163,163,5,7,49,66,1456.2,1372,711,691,167,52,617,1172,1.37,0.252,False,True
