TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,96,3319,376,843,167,26,76,354,230,691,49,18,0.254,0.307,0.389,0.696,64,98,4.26,162,162,2,4,35,56,1444.1,1467,742,683,154,51,469,1278,1.34,0.265,False,False
Atlanta Braves,NL,95,3252,362,802,143,18,81,343,279,807,55,17,0.247,0.309,0.376,0.685,79,83,3.38,162,162,5,13,54,67,1455.0,1369,597,547,121,37,472,1301,1.27,0.251,False,False
Baltimore Orioles,AL,94,3274,405,867,151,8,114,391,232,702,26,9,0.265,0.318,0.42,0.738,96,66,3.43,162,162,3,13,53,72,1461.1,1342,593,557,151,59,472,1174,1.24,0.244,False,True
Boston Red Sox,AL,95,3248,367,800,170,15,68,347,340,769,30,20,0.246,0.323,0.371,0.694,71,91,4.01,162,162,3,7,36,54,1465.2,1458,715,653,154,47,482,1213,1.32,0.26,False,False
Chicago Cubs,NL,94,3208,366,761,163,21,84,353,259,809,40,25,0.237,0.298,0.38,0.678,73,89,3.91,162,162,1,11,37,57,1463.1,1398,707,636,115,55,504,1311,1.3,0.252,False,False
Chicago White Sox,AL,96,3298,411,826,170,19,98,386,271,833,55,20,0.25,0.311,0.403,0.714,73,89,4.29,162,162,3,6,36,57,1441.0,1468,758,687,140,69,557,1152,1.41,0.265,False,False
Cincinnati Reds,NL,95,3195,377,794,174,11,81,356,260,732,81,32,0.249,0.309,0.386,0.695,76,86,3.59,162,162,5,13,44,63,1446.0,1282,612,576,163,69,507,1290,1.24,0.237,False,False
Cleveland IndiansIndians‌‌‌,AL,94,3241,417,829,160,14,90,400,309,683,54,13,0.256,0.323,0.397,0.72,85,77,3.56,162,162,6,15,40,63,1468.1,1398,653,581,135,58,464,1450,1.27,0.25,False,False
Colorado Rockies,NL,96,3291,457,926,183,19,112,435,236,706,58,27,0.281,0.331,0.451,0.782,66,96,4.84,162,162,1,4,24,49,1431.0,1528,818,770,173,54,531,1074,1.44,0.276,False,False
Detroit Tigers,AL,91,3128,437,875,195,15,97,426,252,622,61,31,0.28,0.333,0.445,0.778,90,72,4.01,162,162,5,8,41,57,1454.0,1475,705,648,127,42,462,1244,1.33,0.263,False,True
Houston Astros,AL,96,3212,368,764,137,15,103,348,300,847,77,19,0.238,0.309,0.386,0.695,70,92,4.11,162,162,7,3,31,56,1438.2,1437,723,657,139,52,484,1137,1.34,0.26,False,False
Kansas City Royals,AL,94,3247,383,858,171,14,55,359,225,553,79,19,0.264,0.315,0.376,0.691,89,73,3.51,162,162,3,14,53,65,1450.2,1386,624,565,128,56,440,1168,1.26,0.25,False,True
Los Angeles Angels,AL,94,3283,478,883,179,19,101,454,301,720,57,21,0.269,0.334,0.427,0.761,98,64,3.58,162,162,3,13,46,62,1482.2,1307,630,590,126,63,504,1342,1.22,0.236,False,True
Los Angeles Dodgers,NL,97,3276,404,845,182,25,76,385,330,736,87,34,0.258,0.328,0.398,0.726,94,68,3.4,162,162,7,16,47,61,1464.2,1338,617,554,142,41,429,1373,1.21,0.242,False,True
Miami Marlins,NL,94,3253,396,826,145,19,77,378,305,846,35,11,0.254,0.32,0.381,0.701,77,85,3.78,162,162,3,16,42,64,1457.2,1481,674,613,114,49,458,1190,1.33,0.264,False,False
Milwaukee Brewers,NL,96,3294,423,848,184,21,94,401,247,722,64,25,0.257,0.316,0.412,0.728,82,80,3.67,162,162,3,9,45,65,1457.2,1386,657,594,167,42,431,1246,1.25,0.25,False,False
Minnesota Twins,AL,94,3228,402,800,183,10,70,376,336,782,50,19,0.248,0.322,0.376,0.698,70,92,4.57,162,162,2,7,38,58,1435.0,1588,777,728,147,45,408,1031,1.39,0.28,False,False
New York Mets,NL,95,3251,383,789,176,7,74,368,335,777,66,24,0.243,0.316,0.369,0.685,79,83,3.49,162,162,1,11,42,64,1463.2,1370,618,568,141,50,509,1303,1.28,0.248,False,False
New York Yankees,AL,94,3247,375,817,142,17,81,351,275,666,64,19,0.252,0.314,0.381,0.695,84,78,3.75,162,162,5,10,48,69,1453.0,1392,664,605,164,65,398,1370,1.23,0.25,False,False
Oakland Athletics,AL,95,3305,466,831,160,19,98,440,360,668,54,12,0.251,0.328,0.4,0.728,88,74,3.22,162,162,7,13,31,52,1463.1,1269,572,524,147,48,406,1244,1.14,0.233,False,True
Philadelphia Phillies,NL,95,3304,367,785,146,17,77,348,275,775,63,16,0.238,0.3,0.362,0.662,73,89,3.79,162,162,2,12,40,56,1468.1,1396,687,619,134,69,521,1255,1.31,0.252,False,False
Pittsburgh Pirates,NL,95,3263,391,835,139,19,85,376,323,761,67,25,0.256,0.331,0.388,0.719,88,74,3.47,162,162,2,7,48,72,1456.1,1341,631,562,128,88,499,1228,1.26,0.247,False,True
San Diego Padres,NL,95,3077,279,657,139,18,65,263,239,762,52,19,0.214,0.273,0.334,0.607,77,85,3.27,162,162,4,10,41,49,1438.2,1300,577,523,117,46,462,1284,1.22,0.241,False,False
San Francisco Giants,NL,96,3211,375,781,150,23,86,361,265,754,35,16,0.243,0.303,0.385,0.688,88,74,3.5,162,162,8,12,46,64,1449.0,1305,614,564,133,57,389,1211,1.17,0.241,True,True
Seattle Mariners,AL,95,3202,378,784,144,21,79,359,229,744,49,24,0.245,0.3,0.377,0.677,87,75,3.17,162,162,2,9,51,62,1452.0,1240,554,512,137,52,463,1317,1.17,0.23,False,False
St. Louis Cardinals,NL,96,3230,360,813,179,15,60,345,274,663,36,12,0.252,0.318,0.372,0.69,90,72,3.5,162,162,8,23,55,71,1448.2,1321,603,564,123,61,470,1221,1.24,0.242,False,True
Tampa Bay Rays,AL,97,3310,377,832,171,14,77,363,335,678,36,19,0.251,0.324,0.381,0.705,77,85,3.56,162,162,3,22,37,56,1463.2,1292,625,579,145,58,482,1437,1.21,0.234,False,False
Texas Rangers,AL,95,3199,391,832,163,19,68,365,252,683,66,37,0.26,0.318,0.387,0.705,67,95,4.49,162,162,6,17,33,47,1426.1,1510,773,711,160,61,505,1110,1.41,0.272,False,False
Toronto Blue Jays,AL,96,3277,431,844,162,15,116,411,310,678,39,14,0.258,0.325,0.422,0.747,83,79,4.0,162,162,3,16,45,64,1443.0,1400,686,642,151,57,490,1199,1.31,0.253,False,False
Washington Nationals,NL,93,3183,387,783,165,16,82,359,289,766,49,9,0.246,0.313,0.385,0.698,96,66,3.03,162,162,5,19,45,62,1470.2,1351,555,495,110,51,352,1288,1.16,0.244,False,True
