TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,86,2974,437,813,157,20,101,405,271,534,41,21,0.273,0.339,0.441,0.78,85,77,4.49,162,162,3,5,52,52,1444.0,1481,783,720,164,47,630,1091,1.46,0.267,False,False
Arizona DiamondbacksDiamondbacks‌‌‌,NL,88,2992,363,744,141,21,93,338,269,673,29,21,0.249,0.315,0.403,0.718,65,97,4.63,162,162,7,6,37,37,1432.1,1463,812,737,188,41,489,908,1.36,0.266,False,False
Atlanta Braves,NL,88,2994,469,829,166,17,120,458,292,558,41,21,0.277,0.346,0.464,0.81,106,56,3.25,162,162,24,23,45,45,1438.2,1291,581,520,117,35,467,1232,1.22,0.24,False,True
Baltimore Orioles,AL,88,3025,423,815,170,8,107,404,293,475,50,31,0.269,0.339,0.437,0.776,79,83,4.74,162,162,16,10,37,37,1431.1,1505,785,754,169,46,535,1065,1.43,0.272,False,False
Boston Red Sox,AL,85,2982,468,857,194,18,103,439,274,547,39,22,0.287,0.352,0.468,0.82,92,70,4.18,162,162,5,8,53,53,1436.0,1406,729,667,168,53,504,1025,1.33,0.255,False,True
Chicago Cubs,NL,87,3005,439,804,144,23,106,421,321,646,35,28,0.268,0.339,0.437,0.776,90,73,4.48,163,163,7,7,56,56,1477.1,1528,792,736,180,48,575,1207,1.42,0.266,False,True
Chicago White Sox,AL,87,2974,439,794,156,22,94,406,303,505,71,26,0.267,0.337,0.429,0.766,80,82,5.22,163,163,8,4,42,42,1438.2,1569,931,835,211,54,580,911,1.49,0.278,False,False
Cincinnati Reds,NL,89,3016,371,785,152,13,70,361,317,596,52,28,0.26,0.332,0.389,0.721,77,85,4.43,162,162,6,8,42,42,1441.1,1400,760,710,170,52,573,1098,1.37,0.256,False,False
Cleveland IndiansIndians‌‌‌,AL,85,2989,478,836,184,19,106,456,343,576,73,28,0.28,0.354,0.46,0.814,89,73,4.45,162,162,9,4,47,47,1460.0,1552,779,722,171,67,563,1037,1.45,0.274,False,True
Colorado Rockies,NL,89,3079,408,845,169,20,93,394,258,537,38,34,0.274,0.333,0.433,0.766,77,85,5.0,162,162,9,5,36,36,1432.2,1583,855,796,174,63,562,951,1.5,0.285,False,False
Detroit Tigers,AL,84,2907,391,786,156,11,88,379,246,540,59,37,0.27,0.333,0.422,0.755,65,97,4.93,162,162,9,4,32,32,1446.1,1551,863,793,185,40,595,947,1.48,0.277,False,False
Florida MarlinsMarlins‌‌‌,NL,87,2945,368,730,145,17,64,343,316,577,70,39,0.248,0.323,0.374,0.697,54,108,5.18,162,162,11,3,24,24,1449.2,1617,923,834,182,58,715,1016,1.61,0.287,False,False
Houston Astros,NL,87,2984,482,832,173,15,88,445,353,621,87,38,0.279,0.36,0.435,0.795,102,60,3.5,162,162,12,11,44,44,1471.1,1435,620,572,147,42,465,1187,1.29,0.256,False,True
Kansas City Royals,AL,86,2970,367,784,139,23,75,348,243,521,62,30,0.264,0.324,0.402,0.726,72,89,5.15,161,161,6,5,46,46,1436.1,1590,899,822,196,60,568,999,1.5,0.281,False,False
Los Angeles Dodgers,NL,87,2988,373,752,122,17,81,352,239,580,73,27,0.252,0.309,0.385,0.694,83,79,3.81,162,162,16,10,47,47,1447.1,1332,678,612,135,56,587,1178,1.33,0.246,False,False
Milwaukee Brewers,NL,85,2906,376,759,136,8,78,360,299,549,47,33,0.261,0.335,0.394,0.729,74,88,4.63,162,162,2,2,39,39,1451.0,1538,812,746,188,61,550,1063,1.44,0.275,False,False
Minnesota Twins,AL,86,2986,397,794,161,14,64,372,263,482,56,29,0.266,0.327,0.394,0.721,70,92,4.76,162,162,7,8,42,42,1447.2,1622,818,765,180,44,457,952,1.44,0.284,False,False
Montreal ExposExpos‌‌‌,NL,86,2873,311,707,146,11,73,287,225,553,48,26,0.246,0.308,0.381,0.689,65,97,4.38,162,162,4,5,39,39,1427.0,1448,783,695,156,57,533,1017,1.39,0.264,False,False
New York Mets,NL,83,2772,352,698,135,18,57,331,294,561,42,29,0.252,0.326,0.375,0.701,88,74,3.76,162,162,9,16,46,46,1458.0,1381,645,609,152,68,532,1129,1.31,0.253,False,False
New York Yankees,AL,81,2794,484,796,142,20,90,451,359,498,98,37,0.285,0.37,0.447,0.817,114,48,3.82,162,162,22,16,48,48,1456.2,1357,656,619,156,68,466,1080,1.25,0.247,True,True
Oakland Athletics,AL,86,2969,459,795,171,8,80,435,341,596,71,28,0.268,0.347,0.412,0.759,74,88,4.81,162,162,12,4,39,39,1434.0,1555,866,766,179,56,529,922,1.45,0.276,False,False
Philadelphia Phillies,NL,85,2967,405,820,167,19,68,389,254,548,59,24,0.276,0.335,0.414,0.749,75,87,4.64,162,162,21,10,32,32,1463.0,1476,808,754,188,54,544,1176,1.38,0.262,False,False
Pittsburgh Pirates,NL,88,2978,344,756,146,25,55,325,198,541,80,26,0.254,0.309,0.375,0.684,69,93,3.91,163,163,7,10,41,41,1449.0,1433,718,629,147,31,530,1112,1.35,0.259,False,False
San Diego Padres,NL,88,3019,443,792,168,21,84,425,322,545,44,20,0.262,0.336,0.415,0.751,98,64,3.63,162,162,14,11,59,59,1454.2,1384,635,587,139,49,501,1217,1.3,0.252,False,True
