TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Atlanta Braves,NL,87,3006,439,822,135,20,119,424,283,546,42,24,0.273,0.336,0.45,0.786,96,66,3.52,162,162,14,9,46,46,1469.0,1372,648,575,120,19,451,1245,1.24,0.247,False,True
Baltimore Orioles,AL,86,3005,498,827,151,15,134,481,342,459,51,26,0.275,0.353,0.469,0.822,88,74,5.14,163,163,13,1,44,44,1468.2,1604,903,839,209,38,597,1047,1.5,0.28,False,True
Boston Red Sox,AL,85,3065,477,869,152,20,121,456,353,550,39,24,0.284,0.361,0.465,0.826,85,77,4.98,162,162,17,5,37,37,1458.0,1606,921,807,185,50,722,1165,1.6,0.279,False,False
California AngelsAngels‌‌‌,AL,88,3095,438,865,132,11,121,417,299,512,26,20,0.279,0.345,0.447,0.792,70,91,5.3,161,161,12,8,38,38,1439.0,1546,943,847,219,84,662,1052,1.53,0.275,False,False
Chicago Cubs,NL,87,2986,393,734,141,10,93,368,283,618,70,23,0.246,0.315,0.393,0.708,76,86,4.36,162,162,10,10,34,34,1456.1,1447,771,705,184,55,546,1027,1.37,0.26,False,False
Chicago White Sox,AL,87,3067,498,863,162,16,107,484,407,511,44,19,0.281,0.366,0.449,0.815,85,77,4.52,162,162,7,4,43,43,1461.0,1529,794,733,174,36,616,1039,1.47,0.27,False,False
Cincinnati Reds,NL,82,2754,371,689,130,16,88,351,305,605,95,37,0.25,0.325,0.405,0.73,81,81,4.32,162,162,6,8,52,52,1443.0,1447,773,692,167,42,591,1089,1.41,0.263,False,False
Cleveland IndiansIndians‌‌‌,AL,87,3051,495,871,170,12,116,471,386,458,84,30,0.285,0.366,0.463,0.829,99,62,4.34,161,161,13,9,46,46,1452.1,1530,769,700,173,39,484,1033,1.39,0.271,False,True
Colorado Rockies,NL,86,2983,513,857,159,19,114,489,298,623,93,29,0.287,0.358,0.468,0.826,83,79,5.59,162,162,5,4,34,34,1422.2,1597,964,884,198,69,624,932,1.56,0.285,False,False
Detroit Tigers,AL,88,2988,410,766,143,12,98,393,294,625,49,28,0.256,0.324,0.411,0.735,53,109,6.38,162,162,10,4,22,22,1432.2,1699,1103,1015,241,80,784,957,1.73,0.296,False,False
Florida MarlinsMarlins‌‌‌,NL,87,2917,327,726,137,15,82,313,285,587,28,27,0.249,0.319,0.39,0.709,80,82,3.95,162,162,8,13,41,41,1443.0,1386,703,634,113,57,598,1050,1.37,0.256,False,False
Houston Astros,NL,89,3056,459,827,165,21,78,428,309,600,110,39,0.271,0.343,0.415,0.758,82,80,4.37,162,162,13,4,35,35,1447.0,1541,792,702,154,70,539,1163,1.44,0.274,False,False
Kansas City Royals,AL,88,3044,407,806,164,23,63,373,319,501,115,49,0.265,0.336,0.396,0.732,75,86,4.55,161,161,17,8,35,35,1450.0,1563,786,733,176,56,460,926,1.4,0.277,False,False
Los Angeles Dodgers,NL,89,3009,370,759,105,20,89,354,270,635,76,22,0.252,0.314,0.389,0.703,90,72,3.46,162,162,6,9,50,50,1466.1,1378,652,564,125,39,534,1212,1.3,0.249,False,True
Milwaukee Brewers,AL,86,3019,505,875,161,28,98,481,341,546,59,33,0.29,0.364,0.459,0.823,80,82,5.14,162,162,6,4,42,42,1447.1,1570,899,826,213,57,635,846,1.52,0.278,False,False
Minnesota Twins,AL,86,2993,462,859,181,23,67,431,328,500,67,30,0.287,0.359,0.43,0.789,78,84,5.28,162,162,13,5,31,31,1439.2,1561,900,844,233,41,581,959,1.49,0.277,False,False
Montreal ExposExpos‌‌‌,NL,87,3008,432,808,171,14,85,413,265,592,52,19,0.269,0.332,0.42,0.752,88,74,3.78,162,162,11,7,43,43,1441.1,1353,668,605,152,56,482,1206,1.27,0.247,False,False
New York Mets,NL,87,2994,399,803,143,27,79,373,220,579,58,24,0.268,0.319,0.413,0.732,71,91,4.22,162,162,10,10,41,41,1440.0,1517,779,675,159,44,532,999,1.42,0.272,False,False
New York Yankees,AL,85,2914,442,841,152,14,74,415,349,435,56,26,0.289,0.365,0.427,0.792,92,70,4.65,162,162,6,9,52,52,1440.0,1469,787,744,143,49,610,1139,1.44,0.265,True,True
Oakland Athletics,AL,88,3098,494,832,169,11,137,476,374,611,35,20,0.269,0.352,0.463,0.815,78,84,5.2,162,162,7,5,34,34,1456.1,1638,900,841,205,52,644,884,1.57,0.287,False,False
Philadelphia Phillies,NL,86,2916,355,714,121,20,84,326,317,642,73,19,0.245,0.322,0.386,0.708,67,95,4.48,162,162,12,6,42,42,1423.1,1463,790,708,160,35,510,1044,1.39,0.267,False,False
Pittsburgh Pirates,NL,87,3050,399,801,160,20,81,379,254,553,63,20,0.263,0.32,0.408,0.728,73,89,4.61,162,162,5,7,37,37,1453.1,1602,833,744,183,50,479,1044,1.43,0.281,False,False
San Diego Padres,NL,89,3121,427,820,155,14,75,399,320,541,59,29,0.263,0.334,0.393,0.727,91,71,3.72,162,162,5,11,47,47,1489.0,1395,682,616,138,45,506,1194,1.28,0.248,False,True
San Francisco Giants,NL,86,2996,417,773,149,10,89,392,303,629,56,20,0.258,0.329,0.404,0.733,68,94,4.7,162,162,9,8,35,35,1442.1,1520,862,754,194,67,570,997,1.45,0.273,False,False
Seattle Mariners,AL,85,3004,540,879,204,13,134,520,360,540,51,19,0.293,0.371,0.503,0.874,85,76,5.21,161,161,4,4,34,34,1431.2,1562,895,829,216,60,605,1000,1.51,0.279,False,False
St. Louis Cardinals,NL,87,2969,411,800,157,14,71,384,256,594,75,36,0.269,0.329,0.404,0.733,88,74,3.97,162,162,13,11,43,43,1452.1,1380,706,641,173,35,539,1050,1.32,0.251,False,True
Texas Rangers,AL,88,3053,525,899,182,18,114,507,365,577,51,13,0.294,0.369,0.478,0.847,90,72,4.65,163,163,19,6,43,43,1449.1,1569,799,749,168,43,582,976,1.48,0.278,False,True
Toronto Blue Jays,AL,87,3031,448,799,172,22,108,416,314,586,46,21,0.264,0.342,0.442,0.784,74,88,4.57,162,162,19,7,35,35,1445.2,1476,809,734,187,36,610,1033,1.44,0.266,False,False
