TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Atlanta BravesBraves‌‌‌,NL,86,2888,335,731,113,29,74,316,245,494,68,37,0.253,0.312,0.389,0.701,98,64,3.14,162,162,26,24,41,41,1460.0,1321,569,510,89,26,489,948,1.24,0.242,False,True
Baltimore OriolesOrioles‌‌‌,AL,87,2937,408,778,139,22,92,395,370,432,48,26,0.265,0.35,0.421,0.771,89,73,3.77,162,162,20,16,48,48,1464.0,1419,656,614,124,36,518,846,1.32,0.257,False,False
Boston Red SoxRed Sox‌‌‌,AL,85,2842,317,698,138,10,43,295,334,465,29,29,0.246,0.325,0.347,0.672,73,89,3.58,162,162,22,13,39,39,1448.2,1403,669,577,107,41,535,943,1.34,0.255,False,False
California AngelsAngels‌‌‌,AL,87,2884,309,696,115,10,59,294,236,459,75,45,0.241,0.3,0.35,0.65,72,90,3.84,162,162,26,13,42,42,1446.0,1449,671,617,130,39,532,888,1.37,0.264,False,False
Chicago CubsCubs‌‌‌,NL,87,2940,300,703,110,21,52,285,239,443,43,26,0.239,0.297,0.344,0.641,78,84,3.39,162,162,16,11,37,37,1469.0,1337,624,554,107,44,575,901,1.3,0.246,False,False
Chicago White SoxWhite Sox‌‌‌,AL,86,2890,364,739,135,18,52,336,345,417,85,38,0.256,0.334,0.369,0.703,86,76,3.82,162,162,21,5,52,52,1461.2,1400,690,621,123,55,550,810,1.33,0.252,False,False
Cincinnati RedsReds‌‌‌,NL,86,2900,368,745,154,25,46,334,310,490,78,39,0.257,0.328,0.375,0.703,90,72,3.46,162,162,9,11,55,55,1449.2,1362,609,558,109,28,470,1060,1.26,0.251,False,False
Cleveland IndiansIndians‌‌‌,AL,88,3002,353,798,113,11,68,335,227,483,76,36,0.266,0.321,0.379,0.7,76,86,4.11,162,162,13,7,46,46,1470.0,1507,746,671,159,34,566,890,1.41,0.268,False,False
Detroit TigersTigers‌‌‌,AL,89,3035,437,778,142,10,108,413,365,581,34,30,0.256,0.337,0.416,0.753,75,87,4.6,162,162,10,4,36,36,1435.2,1534,794,733,155,29,564,693,1.46,0.277,False,False
Houston AstrosAstros‌‌‌,NL,88,2930,316,700,137,27,48,301,263,580,71,32,0.239,0.305,0.353,0.658,81,81,3.72,162,162,5,12,45,45,1459.1,1386,668,603,114,38,539,978,1.32,0.252,False,False
Kansas City RoyalsRoyals‌‌‌,AL,87,2947,333,752,174,19,44,307,244,383,64,36,0.255,0.315,0.372,0.687,72,90,3.81,162,162,9,12,44,44,1447.1,1426,667,613,106,39,512,834,1.34,0.259,False,False
Los Angeles DodgersDodgers‌‌‌,NL,88,2913,304,722,112,21,40,278,283,498,71,42,0.248,0.315,0.342,0.657,63,99,3.41,162,162,18,13,29,29,1438.0,1401,636,545,82,28,553,981,1.36,0.257,False,False
Milwaukee BrewersBrewers‌‌‌,AL,86,2953,394,792,144,19,49,360,261,405,118,49,0.268,0.327,0.38,0.707,92,70,3.43,162,162,19,14,39,39,1457.0,1344,604,556,127,47,435,793,1.22,0.246,False,False
Minnesota TwinsTwins‌‌‌,AL,87,3035,451,856,154,15,67,422,296,390,68,36,0.282,0.347,0.409,0.756,90,72,3.7,162,162,16,13,50,50,1453.0,1391,653,598,121,36,479,923,1.29,0.254,False,False
Montreal ExposExpos‌‌‌,NL,88,2969,358,741,144,18,59,333,271,544,113,39,0.25,0.314,0.37,0.684,87,75,3.25,162,162,11,14,49,49,1468.0,1296,581,530,92,50,525,1014,1.24,0.238,False,False
New York MetsMets‌‌‌,NL,88,2886,335,675,143,5,51,316,347,514,77,28,0.234,0.318,0.34,0.658,72,90,3.66,162,162,17,13,34,34,1446.2,1404,653,589,98,36,482,1025,1.3,0.256,False,False
New York YankeesYankees‌‌‌,AL,87,2976,385,739,152,8,94,371,287,509,39,17,0.248,0.317,0.4,0.717,76,86,4.21,162,162,20,9,44,44,1452.2,1453,746,679,129,35,612,851,1.42,0.263,False,False
Oakland AthleticsAthletics‌‌‌,AL,87,2941,403,763,115,9,83,369,382,454,75,33,0.259,0.345,0.389,0.734,96,66,3.73,162,162,8,9,58,58,1447.0,1396,672,599,129,41,601,843,1.38,0.256,False,True
Philadelphia PhilliesPhillies‌‌‌,NL,88,3007,369,760,140,15,67,348,282,607,63,20,0.253,0.32,0.376,0.696,70,92,4.11,162,162,26,7,34,34,1428.0,1387,717,652,113,27,549,851,1.36,0.257,False,False
Pittsburgh PiratesPirates‌‌‌,NL,88,2960,364,741,143,29,52,342,319,471,55,26,0.25,0.323,0.371,0.694,96,66,3.35,162,162,20,20,43,43,1479.2,1410,595,551,101,30,455,844,1.26,0.254,False,True
San Diego PadresPadres‌‌‌,NL,89,3033,368,797,139,16,75,337,269,466,42,34,0.263,0.324,0.393,0.717,82,80,3.57,162,162,9,11,46,46,1461.1,1444,636,579,111,21,439,971,1.29,0.261,False,False
San Francisco GiantsGiants‌‌‌,NL,87,2919,329,719,123,24,57,304,254,576,78,37,0.246,0.308,0.363,0.671,72,90,3.61,162,162,9,12,30,30,1461.0,1385,647,586,128,35,502,927,1.29,0.253,False,False
Seattle MarinersMariners‌‌‌,AL,89,3008,370,777,142,13,91,353,246,416,56,30,0.258,0.316,0.405,0.721,64,98,4.55,162,162,21,9,30,30,1445.0,1467,799,730,129,60,661,894,1.47,0.266,False,False
