TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Atlanta Braves,NL,69,2294,331,584,109,12,83,313,265,470,36,17,0.255,0.335,0.421,0.756,90,54,3.44,144,144,18,11,34,34,1291.2,1184,540,494,107,32,436,1087,1.25,0.244,True,True
Baltimore Orioles,AL,68,2313,339,616,104,12,80,317,241,390,53,23,0.266,0.338,0.425,0.763,71,73,4.31,144,144,19,10,29,29,1267.0,1165,640,607,149,37,523,930,1.33,0.245,False,False
Boston Red Sox,AL,68,2354,371,641,121,11,89,352,276,464,54,23,0.272,0.355,0.446,0.801,86,58,4.39,144,144,7,9,39,39,1292.2,1338,698,631,127,46,476,888,1.4,0.268,False,True
California AngelsAngels‌‌‌,AL,69,2385,399,655,128,12,85,383,311,401,23,23,0.275,0.361,0.445,0.806,78,67,4.52,145,145,8,9,42,42,1284.1,1310,697,645,163,43,486,901,1.4,0.265,False,False
Chicago Cubs,NL,69,2380,321,613,121,17,72,296,203,468,49,18,0.258,0.317,0.413,0.73,73,71,4.13,144,144,6,12,45,45,1301.0,1313,671,597,162,34,518,926,1.41,0.262,False,False
Chicago White Sox,AL,66,2327,345,645,118,14,70,322,283,365,61,15,0.277,0.357,0.43,0.787,68,76,4.85,145,145,12,4,36,36,1284.2,1374,758,693,164,39,617,892,1.55,0.275,False,False
Cincinnati Reds,NL,68,2320,357,625,121,21,82,332,236,440,102,29,0.269,0.338,0.446,0.784,85,59,4.03,144,144,8,10,38,38,1289.1,1270,623,578,131,31,424,903,1.31,0.26,False,True
Cleveland IndiansIndians‌‌‌,AL,67,2336,383,682,129,12,104,368,244,376,58,26,0.292,0.359,0.491,0.85,100,44,3.83,144,144,10,10,50,50,1301.0,1261,607,554,135,45,445,926,1.31,0.255,False,True
Colorado Rockies,NL,69,2387,373,678,132,14,95,358,231,436,53,34,0.284,0.352,0.47,0.822,77,67,4.97,144,144,1,1,43,43,1288.1,1443,783,711,160,41,512,891,1.52,0.286,False,True
Detroit Tigers,AL,70,2352,369,623,114,9,92,345,304,491,46,17,0.265,0.351,0.438,0.789,60,84,5.49,144,144,5,3,38,38,1275.0,1509,844,778,170,45,536,729,1.6,0.296,False,False
