TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksDiamondbacks‌‌‌,NL,90,3080,394,791,168,14,102,385,320,597,30,13,0.257,0.329,0.42,0.749,77,85,4.84,162,162,6,10,45,62,1456.1,1580,856,783,193,62,537,1038,1.45,0.278,False,False
Atlanta BravesBraves‌‌‌,NL,89,3003,428,790,168,22,100,404,295,585,54,13,0.263,0.331,0.434,0.765,90,72,3.98,162,162,8,12,38,62,1443.2,1487,674,639,145,32,520,929,1.39,0.268,False,True
Baltimore OriolesOrioles‌‌‌,AL,87,2979,431,827,168,19,121,418,238,464,51,15,0.278,0.334,0.469,0.803,74,88,4.56,162,162,2,9,38,57,1427.2,1458,800,724,180,52,580,1052,1.43,0.263,False,False
Boston Red SoxRed Sox‌‌‌,AL,87,3026,473,852,184,14,100,457,344,576,24,2,0.282,0.357,0.451,0.808,95,67,4.74,162,162,6,8,38,57,1429.0,1550,805,752,164,89,440,959,1.39,0.276,False,True
Chicago CubsCubs‌‌‌,NL,87,3001,394,810,175,14,109,376,226,524,43,25,0.27,0.325,0.447,0.772,79,83,4.19,162,162,8,10,39,58,1440.0,1357,714,671,186,50,576,1256,1.34,0.25,False,False
Chicago White SoxWhite Sox‌‌‌,AL,86,2886,413,755,126,6,106,394,235,520,91,35,0.262,0.323,0.42,0.743,99,63,3.61,162,162,9,10,54,73,1475.2,1392,645,592,167,52,459,1040,1.25,0.249,True,True
Cincinnati RedsReds‌‌‌,NL,89,3045,434,801,190,9,112,414,318,703,37,15,0.263,0.337,0.442,0.779,73,89,5.15,163,163,2,1,31,47,1433.0,1657,889,820,219,80,492,955,1.5,0.29,False,False
Cleveland IndiansIndians‌‌‌,AL,88,3054,406,799,171,20,104,390,263,566,41,23,0.262,0.324,0.433,0.757,93,69,3.61,162,162,6,10,51,66,1452.2,1363,642,582,157,41,413,1050,1.22,0.247,False,False
Colorado RockiesRockies‌‌‌,NL,87,2975,389,797,157,18,82,367,267,601,38,20,0.268,0.332,0.415,0.747,67,95,5.13,162,162,4,4,37,63,1418.2,1600,862,808,175,84,604,981,1.55,0.287,False,False
Detroit TigersTigers‌‌‌,AL,86,2975,387,798,152,32,77,362,218,563,49,15,0.268,0.322,0.418,0.74,71,91,4.51,162,162,7,2,37,57,1435.2,1504,787,719,193,51,461,907,1.37,0.272,False,False
Florida MarlinsMarlins‌‌‌,NL,86,2930,383,797,163,19,70,363,269,496,42,20,0.272,0.338,0.412,0.75,83,79,4.16,162,162,14,15,42,60,1442.1,1459,732,666,116,65,563,1125,1.4,0.266,False,False
Houston AstrosAstros‌‌‌,NL,88,2908,365,737,161,18,81,347,251,543,71,30,0.253,0.319,0.405,0.724,89,73,3.51,163,163,6,11,45,58,1443.0,1336,609,563,155,59,440,1164,1.23,0.246,False,True
Kansas City RoyalsRoyals‌‌‌,AL,87,2953,375,774,153,20,66,341,224,532,28,23,0.262,0.319,0.395,0.714,56,106,5.49,162,162,4,4,25,43,1413.1,1640,935,862,178,74,580,924,1.57,0.291,False,False
Los Angeles AngelsAngels‌‌‌,AL,88,3042,420,833,163,21,79,399,228,462,73,32,0.274,0.326,0.419,0.745,95,67,3.68,162,162,7,11,54,71,1464.1,1419,643,598,158,48,443,1126,1.27,0.254,False,True
Los Angeles DodgersDodgers‌‌‌,NL,88,2970,384,777,148,11,89,365,279,595,30,18,0.262,0.332,0.409,0.741,71,91,4.38,162,162,6,9,40,59,1427.1,1434,755,695,182,64,471,1004,1.33,0.263,False,False
Milwaukee BrewersBrewers‌‌‌,NL,88,2963,392,756,178,5,97,376,305,645,49,19,0.255,0.33,0.417,0.747,81,81,3.97,162,162,7,6,46,67,1438.0,1382,697,635,169,45,569,1173,1.36,0.251,False,False
Minnesota TwinsTwins‌‌‌,AL,86,2977,396,803,149,16,80,377,268,518,56,28,0.27,0.335,0.411,0.746,83,79,3.71,162,162,9,8,44,60,1464.1,1458,662,604,169,43,348,965,1.23,0.261,False,False
New York MetsMets‌‌‌,NL,88,2978,387,763,158,15,88,363,267,596,67,22,0.256,0.321,0.408,0.729,83,79,3.76,162,162,8,11,38,59,1435.2,1390,648,599,135,56,491,1012,1.31,0.255,False,False
New York YankeesYankees‌‌‌,AL,86,2979,478,826,147,7,113,460,355,514,52,15,0.277,0.358,0.445,0.803,95,67,4.52,162,162,8,14,46,67,1430.2,1495,789,718,164,84,463,985,1.37,0.269,False,True
Oakland AthleticsAthletics‌‌‌,AL,87,3007,400,793,167,12,68,380,309,421,21,14,0.264,0.336,0.395,0.731,88,74,3.69,162,162,9,12,38,56,1450.1,1315,658,594,154,60,504,1075,1.25,0.241,False,False
Philadelphia PhilliesPhillies‌‌‌,NL,89,3003,410,798,133,14,86,381,349,570,62,17,0.266,0.346,0.405,0.751,88,74,4.21,162,162,4,6,40,63,1435.0,1379,726,672,189,72,487,1159,1.3,0.253,False,False
Pittsburgh PiratesPirates‌‌‌,NL,87,2944,365,755,167,22,77,350,267,558,27,21,0.256,0.324,0.407,0.731,67,95,4.42,162,162,4,14,35,47,1436.0,1456,769,706,162,65,612,958,1.44,0.267,False,False
San Diego PadresPadres‌‌‌,NL,89,3057,406,801,151,26,80,390,341,549,58,24,0.262,0.339,0.407,0.746,82,80,4.13,162,162,4,8,45,65,1455.1,1452,726,668,146,46,503,1133,1.34,0.259,False,True
San Francisco GiantsGiants‌‌‌,NL,87,2970,393,808,175,11,69,374,252,452,37,21,0.272,0.332,0.408,0.74,75,87,4.33,162,162,4,8,46,74,1444.1,1456,745,695,151,42,592,972,1.42,0.263,False,False
Seattle MarinersMariners‌‌‌,AL,87,2967,377,769,164,17,65,361,246,562,57,26,0.259,0.319,0.392,0.711,69,93,4.49,162,162,6,7,39,59,1427.2,1483,751,712,179,57,496,892,1.39,0.268,False,False
St. Louis CardinalsCardinals‌‌‌,NL,88,2998,447,811,151,14,97,419,291,477,46,21,0.271,0.341,0.427,0.768,100,62,3.49,162,162,15,14,48,65,1445.2,1399,634,560,153,60,443,974,1.27,0.257,False,True
Tampa Bay Devil RaysDevil Rays‌‌‌,AL,89,3037,399,818,149,21,78,383,236,550,86,25,0.269,0.327,0.409,0.736,67,95,5.39,162,162,1,4,43,69,1421.2,1570,936,851,194,64,615,949,1.54,0.28,False,False
Texas RangersRangers‌‌‌,AL,86,3057,476,833,160,17,147,458,251,595,28,8,0.272,0.332,0.48,0.812,79,83,4.96,162,162,2,6,46,68,1440.0,1589,858,794,159,60,522,932,1.47,0.279,False,False
Toronto Blue JaysBlue Jays‌‌‌,AL,88,3006,428,805,161,26,77,410,265,512,37,18,0.268,0.334,0.416,0.75,80,82,4.06,162,162,9,8,35,56,1447.0,1475,705,653,185,68,444,958,1.33,0.264,False,False
Washington NationalsNationals‌‌‌,NL,88,2937,357,761,168,20,65,344,275,588,25,27,0.259,0.329,0.396,0.725,81,81,3.87,162,162,4,9,51,69,1458.0,1456,673,627,140,72,539,997,1.37,0.262,False,False
