TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,89,3016,404,761,169,17,100,393,330,817,53,18,0.252,0.329,0.419,0.748,65,97,4.81,162,162,3,3,35,59,1432.0,1503,836,765,210,58,548,1070,1.43,0.271,False,False
Atlanta Braves,NL,88,2951,406,767,168,9,70,383,364,615,40,18,0.26,0.343,0.394,0.737,91,71,3.56,162,162,2,9,41,58,1439.1,1326,629,569,126,49,505,1241,1.27,0.246,False,True
Baltimore Orioles,AL,88,3029,324,784,138,10,76,305,245,573,42,21,0.259,0.319,0.386,0.705,66,96,4.59,162,162,3,7,35,62,1436.1,1508,785,733,186,59,520,1007,1.41,0.27,False,False
Boston Red Sox,AL,88,3067,481,845,211,13,118,462,340,618,30,10,0.276,0.35,0.468,0.818,89,73,4.2,162,162,3,9,44,66,1456.2,1402,744,679,152,53,580,1207,1.36,0.253,False,False
Chicago Cubs,NL,89,2996,359,761,150,16,83,349,277,656,33,15,0.254,0.321,0.398,0.719,75,87,4.18,162,162,1,14,40,54,1436.2,1409,767,668,154,65,605,1268,1.4,0.255,False,False
Chicago White Sox,AL,87,2879,393,741,143,8,100,374,262,446,80,43,0.257,0.327,0.417,0.744,88,74,4.09,162,162,6,11,43,57,1446.1,1471,704,658,136,34,490,1149,1.36,0.264,False,False
Cincinnati Reds,NL,90,3101,437,843,160,21,108,423,293,669,55,26,0.272,0.338,0.441,0.779,91,71,4.01,162,162,4,9,43,63,1453.0,1404,685,648,158,50,524,1130,1.33,0.254,False,True
Cleveland IndiansIndians‌‌‌,AL,88,2972,360,728,157,12,75,339,306,649,44,17,0.245,0.321,0.382,0.703,69,93,4.3,162,162,10,4,34,50,1433.0,1477,752,684,147,66,572,967,1.43,0.269,False,False
Colorado Rockies,NL,88,3003,430,808,140,30,95,412,320,682,50,27,0.269,0.342,0.431,0.773,83,79,4.14,162,162,6,12,35,56,1442.0,1405,717,663,139,56,525,1234,1.34,0.257,False,False
Detroit Tigers,AL,86,2950,401,812,182,15,76,381,298,589,38,12,0.275,0.344,0.424,0.768,81,81,4.3,162,162,6,5,32,45,1444.1,1445,743,690,142,65,537,1056,1.37,0.262,False,False
Florida MarlinsMarlins‌‌‌,NL,88,3032,404,793,155,15,79,383,265,698,55,15,0.262,0.325,0.401,0.726,80,82,4.08,162,162,5,17,39,64,1438.1,1433,717,652,134,51,549,1168,1.38,0.261,False,False
Houston Astros,NL,89,2951,307,701,131,11,57,291,237,538,51,22,0.238,0.296,0.347,0.643,76,86,4.09,162,162,4,11,45,60,1439.1,1446,729,654,140,40,548,1210,1.39,0.261,False,False
Kansas City Royals,AL,88,3054,385,862,157,18,61,364,244,454,54,33,0.282,0.337,0.405,0.742,67,95,4.97,162,162,7,3,44,65,1436.2,1553,845,794,176,47,551,1035,1.46,0.276,False,False
Los Angeles Angels,AL,91,3062,412,776,159,6,90,397,276,617,61,32,0.253,0.319,0.397,0.716,80,82,4.04,162,162,10,9,39,56,1449.1,1422,702,651,148,46,565,1130,1.37,0.256,False,False
Los Angeles Dodgers,NL,88,2998,423,805,167,19,69,395,309,620,60,29,0.269,0.338,0.406,0.744,80,82,4.01,162,162,4,16,41,59,1441.2,1323,692,643,134,58,539,1274,1.29,0.244,False,False
Milwaukee Brewers,NL,89,3101,418,806,170,17,110,398,321,674,49,15,0.26,0.336,0.432,0.768,77,85,4.58,162,162,3,7,35,56,1439.0,1487,804,733,173,48,582,1258,1.44,0.267,False,False
Minnesota Twins,AL,88,2994,408,812,173,20,77,387,323,516,35,13,0.271,0.343,0.42,0.763,94,68,3.95,162,162,9,13,40,58,1452.2,1493,671,638,155,47,383,1048,1.29,0.266,False,True
New York Mets,NL,88,2971,396,773,156,26,70,379,267,591,84,19,0.26,0.324,0.401,0.725,79,83,3.7,162,162,8,19,36,52,1453.0,1438,652,597,135,52,545,1106,1.36,0.26,False,False
New York Yankees,AL,88,3015,469,817,152,21,99,448,356,571,51,17,0.271,0.353,0.434,0.787,95,67,4.06,162,162,3,8,39,57,1442.1,1349,693,651,179,62,540,1154,1.31,0.249,False,True
Oakland Athletics,AL,89,3033,369,796,153,21,57,347,262,596,65,14,0.262,0.324,0.383,0.707,81,81,3.56,162,162,7,17,38,51,1431.2,1315,626,566,153,38,512,1070,1.28,0.245,False,False
Philadelphia Phillies,NL,87,2961,410,755,156,21,91,390,278,553,43,8,0.255,0.323,0.414,0.737,97,65,3.67,162,162,14,21,40,59,1456.1,1402,640,594,168,57,416,1183,1.25,0.254,False,True
Pittsburgh Pirates,NL,88,2914,284,686,149,13,59,275,265,648,56,23,0.235,0.301,0.356,0.657,57,105,5.0,162,162,1,6,31,48,1411.2,1567,866,784,167,66,538,1026,1.49,0.282,False,False
San Diego Padres,NL,88,2999,376,750,139,13,67,357,291,652,73,30,0.25,0.319,0.372,0.691,90,72,3.39,162,162,2,20,49,64,1456.1,1305,581,549,139,28,517,1295,1.25,0.24,False,False
San Francisco Giants,NL,88,2989,391,780,151,18,82,368,275,578,34,20,0.261,0.326,0.406,0.732,92,70,3.36,162,162,6,17,57,73,1461.0,1279,583,546,134,51,578,1331,1.27,0.236,True,True
Seattle Mariners,AL,88,2930,298,697,127,9,57,285,281,619,78,19,0.238,0.307,0.346,0.653,61,101,3.93,162,162,11,10,38,55,1438.0,1402,698,628,157,40,452,973,1.29,0.255,False,False
St. Louis Cardinals,NL,88,2995,391,778,165,12,90,370,300,598,51,21,0.26,0.331,0.413,0.744,86,76,3.57,162,162,7,16,32,42,1453.2,1412,641,577,133,48,477,1094,1.3,0.256,False,False
Tampa Bay Rays,AL,88,2998,444,767,171,19,79,426,367,678,110,28,0.256,0.341,0.405,0.746,96,66,3.78,162,162,6,12,51,67,1453.2,1347,649,611,175,46,478,1189,1.26,0.244,False,True
Texas Rangers,AL,88,3053,453,849,152,14,90,426,292,564,71,30,0.278,0.343,0.425,0.768,90,72,3.93,162,162,7,8,46,66,1455.1,1355,687,636,162,63,551,1181,1.31,0.246,False,True
Toronto Blue Jays,AL,89,3004,404,721,182,13,136,393,269,669,32,9,0.24,0.306,0.445,0.751,85,77,4.22,162,162,5,11,45,61,1440.2,1407,728,676,150,60,539,1184,1.35,0.255,False,False
Washington Nationals,NL,89,2975,366,771,147,23,79,354,290,639,63,27,0.259,0.329,0.404,0.733,69,93,4.13,162,162,2,5,37,57,1435.0,1469,742,658,151,46,512,1068,1.38,0.266,False,False
