TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,87,3050,446,859,157,25,80,426,235,508,79,27,0.282,0.339,0.428,0.767,92,70,4.28,162,162,2,11,50,67,1454.1,1476,734,692,170,44,502,1164,1.36,0.263,False,True
Arizona DiamondbacksDiamondbacks‌‌‌,NL,89,3057,379,770,165,29,90,359,274,517,24,18,0.252,0.315,0.413,0.728,51,111,4.98,162,162,5,6,33,55,1436.0,1480,899,794,197,75,668,1153,1.5,0.266,False,False
Atlanta Braves,NL,87,2989,415,782,177,20,95,397,291,624,29,20,0.262,0.33,0.43,0.76,96,66,3.74,162,162,4,13,48,68,1450.0,1475,668,603,154,27,523,1025,1.38,0.265,False,True
Baltimore Orioles,AL,85,3041,435,851,160,8,85,407,293,453,69,24,0.28,0.346,0.422,0.768,78,84,4.7,162,162,8,10,27,47,1455.1,1488,830,760,159,62,687,1090,1.49,0.264,False,False
Boston Red Sox,AL,86,3068,482,862,198,12,117,458,357,649,37,16,0.281,0.36,0.468,0.828,98,64,4.18,162,162,4,12,36,49,1451.1,1430,768,674,159,92,447,1132,1.29,0.255,True,True
Chicago Cubs,NL,87,3010,400,811,170,19,111,388,257,586,24,18,0.269,0.328,0.449,0.777,89,73,3.81,162,162,3,6,42,66,1465.1,1363,665,621,169,76,545,1346,1.3,0.247,False,False
Chicago White Sox,AL,84,2898,462,795,162,13,123,440,301,548,47,23,0.274,0.346,0.467,0.813,83,79,4.91,162,162,8,8,34,46,1432.1,1505,831,782,224,48,527,1013,1.42,0.272,False,False
Cincinnati Reds,NL,88,2977,411,746,152,13,102,387,348,692,37,14,0.251,0.336,0.413,0.749,76,86,5.19,162,162,5,8,47,78,1443.2,1595,907,832,236,54,572,992,1.5,0.28,False,False
Cleveland IndiansIndians‌‌‌,AL,87,3077,474,854,196,11,82,448,341,554,63,34,0.278,0.356,0.428,0.784,80,82,4.81,162,162,8,8,32,60,1466.2,1553,857,784,201,62,579,1115,1.45,0.271,False,False
Colorado Rockies,NL,87,3017,465,826,196,18,105,441,309,636,28,21,0.274,0.345,0.455,0.8,68,94,5.54,162,162,3,2,36,70,1435.1,1634,923,883,198,71,697,947,1.62,0.29,False,False
Detroit Tigers,AL,87,3059,466,866,167,29,98,449,288,619,50,32,0.283,0.347,0.453,0.8,72,90,4.93,162,162,7,9,35,63,1439.2,1542,844,788,190,54,530,995,1.44,0.275,False,False
Florida MarlinsMarlins‌‌‌,NL,88,2987,375,776,152,19,89,356,288,537,49,24,0.26,0.329,0.413,0.742,83,79,4.1,162,162,6,14,53,75,1439.0,1395,700,655,166,51,513,1116,1.33,0.256,False,False
Houston Astros,NL,88,2963,396,783,162,16,84,377,312,545,25,16,0.264,0.338,0.415,0.753,92,70,4.05,162,162,2,13,47,70,1443.0,1416,698,650,174,68,525,1282,1.35,0.258,False,True
Kansas City Royals,AL,85,2882,360,732,127,14,82,343,223,522,44,22,0.254,0.315,0.393,0.708,58,104,5.15,162,162,6,3,25,47,1420.1,1638,905,813,208,56,518,887,1.52,0.29,False,False
Los Angeles Dodgers,NL,86,2931,382,786,120,14,97,365,265,516,61,24,0.268,0.333,0.418,0.751,93,69,4.01,162,162,2,6,51,60,1453.1,1386,684,647,178,54,521,1066,1.31,0.254,False,True
Milwaukee Brewers,NL,86,2968,375,761,161,16,73,353,303,680,64,25,0.256,0.33,0.395,0.725,67,94,4.24,161,161,6,10,42,64,1442.0,1440,757,679,164,51,476,1098,1.33,0.259,False,False
Minnesota Twins,AL,87,3037,405,797,167,12,93,376,271,533,54,26,0.262,0.327,0.417,0.744,92,70,4.03,162,162,4,9,48,68,1476.0,1523,715,661,167,54,431,1123,1.32,0.267,False,True
Montreal ExposExpos‌‌‌,NL,87,2876,290,685,127,12,76,277,233,477,56,19,0.238,0.298,0.37,0.668,67,95,4.33,162,162,11,11,31,49,1447.0,1477,769,696,191,79,582,1032,1.42,0.266,False,False
New York Mets,NL,87,3003,387,760,165,10,104,371,291,642,53,13,0.253,0.324,0.419,0.743,71,91,4.09,162,162,2,6,31,52,1449.0,1452,731,658,156,49,592,977,1.41,0.261,False,False
New York Yankees,AL,86,2945,483,783,150,11,132,462,384,522,44,20,0.266,0.357,0.459,0.816,101,61,4.69,162,162,1,5,59,76,1443.2,1532,808,752,182,60,445,1058,1.37,0.271,False,True
Oakland Athletics,AL,86,3076,432,844,183,10,99,409,306,593,30,12,0.274,0.342,0.437,0.779,91,71,4.17,162,162,10,8,35,63,1471.1,1466,742,682,164,68,544,1034,1.37,0.262,False,False
Philadelphia Phillies,NL,87,3014,452,792,163,10,117,430,376,603,47,14,0.263,0.349,0.44,0.789,86,76,4.45,162,162,4,5,43,68,1462.2,1488,781,724,214,66,502,1070,1.36,0.264,False,False
Pittsburgh Pirates,NL,86,2962,389,792,143,21,81,368,209,562,35,25,0.267,0.325,0.412,0.737,72,89,4.29,161,161,3,8,46,69,1428.0,1451,744,680,149,63,576,1079,1.42,0.267,False,False
San Diego Padres,NL,88,2996,377,795,152,14,63,350,299,487,31,17,0.265,0.334,0.389,0.723,87,75,4.03,162,162,3,8,44,64,1441.0,1460,705,645,184,48,422,1079,1.31,0.263,False,False
San Francisco Giants,NL,89,3040,454,811,163,16,95,431,396,484,23,13,0.267,0.356,0.425,0.781,91,71,4.29,162,162,8,8,46,74,1457.0,1481,770,695,161,47,548,1020,1.39,0.265,False,False
Seattle Mariners,AL,86,3006,347,771,152,12,65,328,279,530,56,20,0.256,0.324,0.38,0.704,63,99,4.76,162,162,7,7,28,49,1459.1,1498,823,772,212,72,575,1036,1.42,0.265,False,False
St. Louis Cardinals,NL,87,2975,455,822,182,8,108,438,293,577,62,22,0.276,0.34,0.452,0.792,105,57,3.75,162,162,4,12,57,73,1453.2,1378,659,605,169,67,440,1041,1.25,0.251,False,True
Tampa Bay Devil RaysDevil Rays‌‌‌,AL,87,2949,388,763,136,25,77,370,276,479,74,30,0.259,0.325,0.4,0.725,70,91,4.81,161,161,3,5,35,45,1417.0,1459,842,757,192,93,580,923,1.44,0.265,False,False
Texas Rangers,AL,86,3058,487,857,169,16,134,466,250,595,37,27,0.28,0.34,0.477,0.817,89,73,4.53,162,162,5,9,52,66,1439.2,1536,794,724,182,81,547,979,1.45,0.274,False,False
Toronto Blue Jays,AL,88,3044,400,808,170,19,69,383,287,577,29,16,0.265,0.336,0.402,0.738,67,94,4.91,161,161,6,11,37,53,1421.0,1505,823,775,181,58,608,956,1.49,0.273,False,False
