TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,80,2720,413,695,145,17,115,405,287,619,60,18,0.256,0.331,0.448,0.779,41,39,4.71,81,81,0,6,25,39,714.1,688,407,374,107,36,266,681,1.34,0.25,False,False
AthleticsAthletics‌‌‌,AL,84,2860,342,712,132,9,101,331,268,694,45,11,0.249,0.316,0.407,0.723,33,51,5.41,84,84,0,5,17,33,744.0,795,484,447,120,47,312,663,1.49,0.271,False,False
Atlanta Braves,NL,80,2705,332,656,110,8,82,319,284,681,42,12,0.243,0.318,0.38,0.698,37,43,3.83,81,81,1,5,12,24,707.2,619,321,301,89,32,257,726,1.24,0.235,False,False
Baltimore Orioles,AL,80,2656,315,627,113,9,92,296,225,706,55,16,0.236,0.302,0.389,0.691,34,46,4.93,81,81,0,3,19,29,708.1,750,410,388,111,25,260,661,1.43,0.27,False,False
Boston Red Sox,AL,83,2853,381,701,150,12,98,363,277,774,67,17,0.246,0.319,0.41,0.729,40,43,4.03,83,83,0,6,22,39,743.2,706,383,333,82,35,290,702,1.34,0.25,False,False
Chicago Cubs,NL,81,2806,437,717,141,15,119,428,280,634,96,17,0.256,0.325,0.444,0.769,48,33,3.9,82,82,0,8,19,28,732.1,690,344,317,97,28,230,618,1.26,0.249,False,False
Chicago White Sox,AL,82,2679,281,590,123,7,64,267,269,713,56,17,0.22,0.293,0.343,0.636,26,56,4.18,82,82,0,4,8,22,711.1,699,365,330,88,48,300,592,1.4,0.256,False,False
Cincinnati Reds,NL,82,2748,380,678,136,10,91,362,277,718,65,23,0.247,0.319,0.403,0.722,43,39,3.81,82,82,2,4,21,30,726.2,628,339,308,96,36,252,665,1.21,0.231,False,False
Cleveland Guardians,AL,80,2602,297,591,112,7,79,282,246,659,64,18,0.227,0.298,0.367,0.665,40,40,3.93,80,80,1,9,23,30,705.1,672,334,308,82,29,291,670,1.37,0.251,False,False
Colorado Rockies,NL,81,2703,285,614,129,25,78,279,217,795,43,19,0.227,0.29,0.38,0.67,18,63,5.53,82,82,0,0,13,26,715.0,832,505,439,109,22,280,541,1.56,0.292,False,False
Detroit Tigers,AL,83,2805,411,710,135,18,100,395,264,721,30,7,0.253,0.323,0.421,0.744,51,32,3.46,83,83,1,8,23,33,738.1,644,320,284,87,36,240,698,1.2,0.234,False,False
Houston Astros,AL,81,2706,338,690,116,7,86,321,235,635,46,19,0.255,0.321,0.398,0.719,48,33,3.4,82,82,3,8,24,33,724.2,584,291,274,85,32,242,807,1.14,0.218,False,False
Kansas City Royals,AL,81,2710,263,658,131,15,56,259,192,552,62,27,0.243,0.297,0.364,0.661,38,43,3.44,82,82,0,7,25,34,728.0,647,300,278,80,23,234,666,1.21,0.236,False,False
