TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,97,3280,482,833,167,19,102,461,324,763,59,16,0.254,0.326,0.41,0.736,89,73,4.62,162,162,0,10,38,64,1443.1,1468,788,741,181,54,481,1313,1.35,0.262,False,False
Atlanta Braves,NL,95,3205,407,774,178,9,109,386,266,844,44,13,0.241,0.304,0.405,0.709,89,73,3.49,162,162,2,17,40,62,1443.1,1277,607,559,150,68,449,1553,1.2,0.236,False,True
Baltimore Orioles,AL,96,3317,474,838,169,22,149,458,260,776,63,15,0.253,0.313,0.452,0.765,91,71,3.94,162,162,0,9,46,67,1442.0,1303,699,632,175,53,481,1380,1.24,0.238,False,True
Boston Red Sox,AL,96,3301,447,838,175,24,113,430,299,930,88,29,0.254,0.322,0.424,0.746,81,81,4.04,162,162,1,13,40,71,1452.2,1363,747,652,189,76,461,1353,1.26,0.246,False,False
Chicago Cubs,NL,98,3265,415,768,147,16,100,391,327,865,78,19,0.235,0.313,0.382,0.695,83,79,3.78,162,162,1,11,38,64,1432.1,1302,669,602,181,48,485,1348,1.25,0.239,False,False
Chicago White Sox,AL,98,3237,313,713,145,5,85,298,256,843,63,14,0.22,0.282,0.347,0.629,41,121,4.67,162,162,0,7,21,58,1420.0,1397,813,737,201,54,643,1366,1.44,0.255,False,False
Cincinnati Reds,NL,97,3169,432,732,158,20,108,406,298,872,134,29,0.231,0.306,0.396,0.702,77,85,4.09,162,162,1,8,36,51,1428.0,1302,694,649,196,93,487,1370,1.25,0.239,False,False
Cleveland Guardians,AL,95,3147,454,765,160,11,109,424,287,695,79,30,0.243,0.316,0.405,0.721,92,69,3.61,161,161,0,12,53,69,1428.0,1224,621,572,179,60,492,1410,1.2,0.23,False,True
Colorado Rockies,NL,97,3286,403,801,168,15,104,385,269,927,53,19,0.244,0.305,0.399,0.704,61,101,5.47,162,162,0,1,37,65,1426.2,1604,929,867,221,66,563,1118,1.52,0.285,False,False
Detroit Tigers,AL,97,3262,413,763,142,31,99,397,278,835,44,14,0.234,0.299,0.387,0.686,86,76,3.61,162,162,1,10,45,71,1447.0,1265,642,581,159,57,416,1354,1.16,0.233,False,True
Houston Astros,AL,96,3302,457,866,162,11,110,440,267,669,64,16,0.262,0.322,0.418,0.74,88,73,3.74,161,161,2,11,43,69,1432.0,1238,649,595,183,61,544,1479,1.24,0.231,False,True
Kansas City Royals,AL,97,3218,442,795,160,24,101,429,257,664,80,18,0.247,0.306,0.406,0.712,86,76,3.76,162,162,2,11,41,64,1428.0,1303,644,596,146,70,472,1339,1.24,0.241,False,True
Los Angeles Angels,AL,96,3181,385,746,144,10,101,358,277,803,80,34,0.235,0.303,0.381,0.684,63,99,4.56,162,162,0,7,35,53,1431.0,1328,797,725,202,81,601,1252,1.35,0.246,False,False
Los Angeles Dodgers,NL,97,3313,479,842,176,17,129,463,374,795,60,15,0.254,0.334,0.434,0.768,98,64,3.9,162,162,1,13,50,79,1445.2,1273,686,626,198,55,501,1390,1.23,0.235,True,True
Miami Marlins,NL,96,3252,336,760,133,12,78,327,205,798,52,27,0.234,0.284,0.354,0.638,62,100,4.73,162,162,1,7,33,60,1437.1,1431,841,755,195,88,556,1317,1.38,0.257,False,False
Milwaukee Brewers,NL,97,3296,466,839,153,15,99,443,363,849,133,24,0.255,0.333,0.4,0.733,93,69,3.65,162,162,0,14,53,72,1446.0,1289,641,586,196,64,494,1373,1.23,0.237,False,True
Minnesota Twins,AL,96,3257,466,827,192,15,115,443,279,757,46,18,0.254,0.323,0.428,0.751,82,80,4.26,162,162,1,8,43,62,1440.1,1333,735,682,190,69,433,1500,1.23,0.242,False,False
New York Mets,NL,95,3275,465,818,176,9,121,447,306,769,69,15,0.25,0.322,0.42,0.742,89,73,3.96,162,162,1,9,39,64,1442.1,1232,697,634,165,94,586,1455,1.26,0.23,False,True
New York Yankees,AL,98,3269,488,806,139,13,140,469,387,786,38,17,0.247,0.329,0.426,0.755,94,68,3.74,162,162,0,14,45,66,1452.2,1272,668,604,181,88,533,1457,1.24,0.233,False,True
Oakland Athletics,AL,98,3265,390,740,137,12,122,376,307,949,53,14,0.227,0.298,0.388,0.686,69,93,4.37,162,162,1,12,35,57,1436.2,1385,764,698,169,92,530,1263,1.33,0.253,False,False
Philadelphia Phillies,NL,96,3271,477,846,156,16,118,456,334,804,99,22,0.259,0.331,0.424,0.755,95,67,3.85,162,162,5,14,37,56,1442.2,1339,671,617,181,60,444,1433,1.24,0.243,False,True
Pittsburgh Pirates,NL,96,3253,402,751,132,11,99,389,301,886,49,10,0.231,0.299,0.37,0.669,76,86,4.15,162,162,1,12,43,72,1438.2,1369,739,664,166,85,515,1356,1.31,0.25,False,False
San Diego Padres,NL,99,3355,448,876,143,11,109,432,276,662,69,19,0.261,0.322,0.408,0.73,93,69,3.86,162,162,1,16,44,67,1439.1,1296,669,617,169,67,462,1453,1.22,0.238,False,True
San Francisco Giants,NL,97,3277,427,801,164,14,96,408,320,809,31,14,0.244,0.315,0.391,0.706,80,82,4.1,162,162,2,12,36,55,1433.2,1339,699,653,153,70,526,1436,1.3,0.246,False,False
Seattle Mariners,AL,98,3203,379,701,129,10,109,362,319,1013,74,18,0.219,0.3,0.367,0.667,85,77,3.49,162,162,1,15,34,56,1433.0,1174,607,556,183,52,369,1416,1.08,0.22,False,False
St. Louis Cardinals,NL,96,3257,398,799,149,11,94,374,279,807,56,16,0.245,0.31,0.384,0.694,83,79,4.04,162,162,0,9,55,83,1444.0,1363,719,648,174,42,454,1308,1.26,0.249,False,False
Tampa Bay Rays,AL,96,3199,376,754,150,11,86,350,311,862,95,35,0.236,0.311,0.37,0.681,80,82,3.77,162,162,0,12,51,73,1440.2,1286,663,604,196,65,445,1406,1.2,0.236,False,False
Texas Rangers,AL,96,3237,414,779,131,11,101,397,304,745,52,14,0.241,0.311,0.382,0.693,78,84,4.35,162,162,0,12,38,57,1427.2,1323,738,690,198,74,530,1371,1.3,0.243,False,False
Toronto Blue Jays,AL,97,3197,394,754,161,13,87,374,317,714,45,9,0.236,0.311,0.376,0.687,74,88,4.29,162,162,3,9,36,59,1427.1,1316,743,681,208,71,503,1314,1.27,0.243,False,False
Washington Nationals,NL,97,3211,402,768,158,10,80,378,280,747,126,47,0.239,0.308,0.369,0.677,71,91,4.3,162,162,0,6,40,63,1434.0,1429,764,685,168,43,473,1314,1.33,0.258,False,False
