TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksDiamondbacks‌‌‌,NL,90,3002,371,744,155,23,86,355,288,570,38,12,0.248,0.316,0.401,0.717,90,72,4.13,162,162,7,12,51,66,1441.0,1446,732,662,169,61,546,1088,1.38,0.262,False,True
Atlanta Braves,NL,89,3051,409,822,171,12,91,396,282,614,44,15,0.269,0.333,0.423,0.756,84,78,4.11,162,162,1,6,36,52,1456.1,1442,733,665,172,42,537,1106,1.36,0.259,False,False
Baltimore Orioles,AL,88,3036,391,812,172,14,65,371,277,492,73,17,0.267,0.332,0.398,0.73,69,93,5.17,162,162,4,9,30,55,1438.2,1491,868,827,161,72,696,1087,1.52,0.268,False,False
Boston Red Sox,AL,87,2978,435,814,182,21,88,416,375,533,47,13,0.273,0.358,0.437,0.795,96,66,3.87,162,162,5,13,45,57,1438.2,1350,657,618,151,62,482,1149,1.27,0.247,True,True
Chicago Cubs,NL,87,3066,396,824,178,19,74,377,260,562,50,18,0.269,0.327,0.412,0.739,85,77,4.04,162,162,2,10,39,53,1446.2,1340,690,650,165,59,573,1211,1.32,0.246,False,True
Chicago White Sox,AL,86,2845,354,685,120,8,89,341,286,569,36,23,0.241,0.314,0.382,0.696,72,90,4.77,162,162,9,9,42,65,1440.2,1556,839,763,174,59,499,1015,1.43,0.276,False,False
Cincinnati Reds,NL,88,3000,418,762,134,15,128,400,289,640,53,19,0.254,0.324,0.437,0.761,72,90,4.94,162,162,6,7,34,62,1449.2,1605,853,796,198,73,482,1068,1.44,0.282,False,False
Cleveland IndiansIndians‌‌‌,AL,88,3051,471,831,162,14,109,456,333,655,45,19,0.272,0.35,0.442,0.792,96,66,4.05,162,162,9,9,49,64,1462.2,1519,704,658,146,56,410,1047,1.32,0.268,False,True
Colorado Rockies,NL,88,3058,428,846,163,21,81,405,331,591,54,20,0.277,0.35,0.423,0.773,90,73,4.32,163,163,4,7,39,68,1472.0,1497,758,706,164,59,504,967,1.36,0.266,False,True
Detroit Tigers,AL,86,3071,512,891,200,27,103,496,281,521,44,19,0.29,0.352,0.473,0.825,88,74,4.57,162,162,1,9,44,65,1447.1,1498,797,735,174,68,566,1047,1.43,0.266,False,False
Florida MarlinsMarlins‌‌‌,NL,89,3092,424,812,183,24,100,401,283,744,62,19,0.263,0.331,0.434,0.765,71,91,4.94,162,162,0,4,40,65,1443.2,1617,891,793,176,76,661,1142,1.58,0.285,False,False
Houston Astros,NL,89,3090,402,804,173,18,86,390,305,565,37,24,0.26,0.331,0.411,0.742,73,89,4.68,162,162,2,6,38,64,1464.2,1566,813,761,206,63,510,1109,1.42,0.273,False,False
Kansas City Royals,AL,88,3032,402,786,161,28,61,377,255,600,46,18,0.259,0.326,0.391,0.717,69,93,4.48,162,162,2,6,36,54,1437.1,1547,778,716,168,41,520,993,1.44,0.277,False,False
Los Angeles Angels,AL,88,3029,437,860,173,13,64,408,254,455,78,29,0.284,0.34,0.413,0.753,94,68,4.23,162,162,5,9,43,57,1435.0,1480,731,674,151,51,477,1156,1.36,0.266,False,True
Los Angeles Dodgers,NL,89,3067,400,831,158,16,63,382,312,453,76,25,0.271,0.34,0.395,0.735,82,80,4.2,162,162,4,6,43,60,1450.0,1443,727,677,146,38,518,1184,1.35,0.261,False,False
Milwaukee Brewers,NL,88,3014,430,805,172,14,124,413,268,611,51,21,0.267,0.332,0.457,0.789,83,79,4.41,162,162,3,6,49,69,1444.1,1513,776,708,161,52,507,1174,1.4,0.269,False,False
