TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksD-backs‌‌‌,NL,95,3291,399,841,178,12,80,373,293,679,29,23,0.256,0.318,0.39,0.708,81,81,3.92,162,162,6,7,38,67,1495.0,1460,695,651,176,60,485,1218,1.3,0.257,False,False
Atlanta BravesBraves‌‌‌,NL,95,3203,415,801,148,14,114,395,329,826,31,19,0.25,0.324,0.412,0.736,96,66,3.18,162,162,1,12,53,69,1450.1,1326,548,512,127,51,409,1232,1.2,0.244,False,True
Baltimore OriolesOrioles‌‌‌,AL,96,3318,462,882,191,6,132,445,232,666,55,19,0.266,0.316,0.446,0.762,85,77,4.2,162,162,2,6,57,84,1453.0,1438,709,678,202,50,473,1169,1.32,0.259,False,False
Boston Red SoxRed Sox‌‌‌,AL,97,3371,498,934,215,25,98,481,357,787,73,16,0.277,0.35,0.443,0.793,97,65,3.79,162,162,5,8,33,57,1454.0,1366,656,613,156,47,524,1294,1.3,0.248,True,True
Chicago CubsCubs‌‌‌,NL,93,3170,384,771,187,15,103,366,238,667,51,18,0.243,0.302,0.409,0.711,66,96,4.0,162,162,3,6,39,65,1448.0,1332,689,643,160,62,540,1184,1.29,0.244,False,False
Chicago White SoxWhite Sox‌‌‌,AL,92,3152,345,785,141,10,89,334,229,700,60,24,0.249,0.301,0.385,0.686,63,99,3.98,162,162,5,5,40,60,1455.0,1424,723,643,182,60,509,1249,1.33,0.256,False,False
Cincinnati RedsReds‌‌‌,NL,95,3237,413,811,169,11,92,396,338,737,28,23,0.251,0.328,0.395,0.723,90,72,3.38,162,162,5,17,43,59,1473.2,1294,589,554,170,66,435,1296,1.17,0.236,False,True
Cleveland IndiansIndians‌‌‌,AL,95,3203,454,825,175,13,104,437,334,782,73,20,0.258,0.33,0.418,0.748,92,70,3.82,162,162,3,16,38,60,1441.1,1359,662,611,147,58,554,1379,1.33,0.249,False,True
Colorado RockiesRockies‌‌‌,NL,96,3325,426,880,163,21,108,407,272,731,72,16,0.265,0.323,0.424,0.747,74,88,4.44,162,162,1,5,35,53,1436.0,1545,760,708,136,40,517,1064,1.44,0.277,False,False
Detroit TigersTigers‌‌‌,AL,94,3336,477,936,179,12,106,463,336,648,27,11,0.281,0.348,0.437,0.785,93,69,3.61,162,162,3,12,39,55,1462.2,1369,624,587,128,42,462,1428,1.25,0.247,False,True
Houston AstrosAstros‌‌‌,AL,94,3120,351,732,149,8,90,332,242,871,53,31,0.235,0.293,0.374,0.667,51,111,4.79,162,162,2,5,32,61,1440.0,1530,848,766,191,56,616,1084,1.49,0.272,False,False
Kansas City RoyalsRoyals‌‌‌,AL,92,3137,365,802,153,20,60,349,238,591,69,16,0.256,0.311,0.375,0.686,86,76,3.46,162,162,5,12,52,73,1448.1,1366,601,556,155,41,469,1208,1.27,0.25,False,False
Los Angeles AngelsAngels‌‌‌,AL,93,3220,430,860,163,21,102,406,290,655,45,22,0.267,0.329,0.426,0.755,78,84,4.23,162,162,4,12,41,58,1457.2,1475,737,685,167,45,533,1200,1.38,0.261,False,False
Los Angeles DodgersDodgers‌‌‌,NL,94,3159,360,825,153,11,75,344,280,641,47,13,0.261,0.324,0.388,0.712,92,70,3.25,162,162,7,22,46,65,1450.1,1321,582,524,127,43,460,1292,1.23,0.243,False,True
Miami MarlinsMarlins‌‌‌,NL,93,3144,306,731,126,21,57,289,231,656,45,16,0.233,0.292,0.34,0.632,62,100,3.71,162,162,2,13,36,53,1460.0,1376,646,602,121,47,526,1177,1.3,0.251,False,False
Milwaukee BrewersBrewers‌‌‌,NL,94,3224,369,828,135,32,90,351,218,683,75,29,0.257,0.311,0.402,0.713,74,88,3.84,162,162,4,15,40,63,1442.2,1401,687,615,175,43,466,1125,1.29,0.255,False,False
Minnesota TwinsTwins‌‌‌,AL,92,3162,379,776,167,10,86,364,304,745,29,18,0.245,0.316,0.386,0.702,66,96,4.55,162,162,1,7,40,58,1450.1,1591,788,733,168,44,458,985,1.41,0.28,False,False
New York MetsMets‌‌‌,NL,91,3183,376,747,154,18,87,359,292,794,51,22,0.235,0.303,0.376,0.679,74,88,3.77,162,162,4,10,40,58,1476.2,1442,684,618,152,54,458,1209,1.29,0.256,False,False
New York YankeesYankees‌‌‌,AL,95,3169,373,770,133,13,88,348,273,690,60,15,0.243,0.307,0.376,0.683,85,77,3.94,162,162,7,10,49,62,1447.1,1452,671,633,171,51,437,1233,1.31,0.261,False,False
Oakland AthleticsAthletics‌‌‌,AL,95,3239,429,793,172,12,98,402,352,716,48,20,0.245,0.322,0.396,0.718,96,66,3.56,162,162,6,13,46,67,1452.0,1339,625,574,163,35,428,1183,1.22,0.242,False,True
Philadelphia PhilliesPhillies‌‌‌,NL,96,3257,371,838,156,22,90,348,240,704,56,22,0.257,0.312,0.402,0.714,73,89,4.32,162,162,6,3,32,48,1436.1,1465,749,689,152,62,506,1199,1.37,0.265,False,False
Pittsburgh PiratesPirates‌‌‌,NL,93,3154,357,764,156,17,89,339,260,776,67,24,0.242,0.309,0.387,0.696,94,68,3.26,162,162,3,16,55,70,1470.2,1299,577,533,101,70,515,1261,1.23,0.238,False,True
San Diego PadresPadres‌‌‌,NL,96,3269,379,795,159,13,88,354,280,760,76,18,0.243,0.309,0.381,0.69,76,86,3.98,162,162,3,6,40,53,1455.0,1407,700,643,156,40,525,1171,1.33,0.255,False,False
San Francisco GiantsGiants‌‌‌,NL,94,3242,378,855,178,19,62,356,255,626,42,15,0.264,0.319,0.388,0.707,76,86,4.0,162,162,2,13,41,54,1447.1,1380,691,643,145,50,521,1256,1.31,0.251,False,False
Seattle MarinersMariners‌‌‌,AL,95,3270,373,798,153,8,115,360,292,788,31,14,0.244,0.309,0.401,0.71,71,91,4.31,162,162,4,14,43,66,1465.0,1467,754,702,174,42,478,1297,1.33,0.259,False,False
St. Louis CardinalsCardinals‌‌‌,NL,93,3194,462,882,176,12,82,440,271,627,23,13,0.276,0.337,0.416,0.753,97,65,3.42,162,162,7,15,44,64,1459.2,1366,596,555,112,64,451,1254,1.24,0.249,False,True
Tampa Bay RaysRays‌‌‌,AL,96,3259,449,850,165,16,106,428,331,669,50,20,0.261,0.33,0.419,0.749,92,71,3.74,163,163,9,17,42,60,1464.0,1315,646,608,153,52,482,1310,1.23,0.24,False,True
Texas RangersRangers‌‌‌,AL,95,3253,411,846,148,15,112,390,272,622,59,26,0.26,0.321,0.418,0.739,91,72,3.62,163,163,4,10,46,57,1463.1,1370,636,589,157,48,498,1309,1.28,0.248,False,False
Toronto Blue JaysBlue Jays‌‌‌,AL,94,3226,428,812,158,14,115,407,291,675,65,19,0.252,0.316,0.416,0.732,74,88,4.25,162,162,4,11,39,58,1452.0,1451,756,685,195,65,500,1208,1.34,0.259,False,False
Washington NationalsNationals‌‌‌,NL,95,3151,357,759,161,18,86,339,265,733,47,20,0.241,0.301,0.385,0.686,86,76,3.59,162,162,6,13,47,68,1445.2,1367,626,576,142,48,405,1236,1.23,0.249,False,False
