TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Atlanta BravesBraves‌‌‌,NL,80,2695,336,669,130,8,85,314,249,517,39,26,0.248,0.313,0.397,0.71,65,97,4.58,162,162,17,8,30,30,1429.2,1527,821,727,128,26,579,938,1.47,0.275,False,False
Baltimore OriolesOrioles‌‌‌,AL,82,2806,356,698,123,13,67,329,357,493,48,31,0.249,0.337,0.373,0.71,76,85,4.04,161,161,10,5,43,43,1435.1,1445,698,644,161,16,537,776,1.38,0.264,False,False
Boston Red SoxRed Sox‌‌‌,AL,82,2771,348,761,150,15,51,326,319,381,22,25,0.275,0.35,0.395,0.745,88,74,3.72,162,162,15,13,44,44,1442.0,1439,664,596,92,45,519,997,1.36,0.261,False,True
California AngelsAngels‌‌‌,AL,84,2911,336,720,134,10,83,307,285,499,39,21,0.247,0.316,0.386,0.702,80,82,3.79,162,162,21,13,42,42,1454.0,1482,706,613,106,38,544,944,1.39,0.267,False,False
Chicago CubsCubs‌‌‌,NL,85,2967,378,798,132,15,86,357,233,465,86,28,0.269,0.322,0.411,0.733,77,85,4.34,162,162,13,7,42,42,1442.2,1510,774,695,121,28,572,877,1.44,0.271,False,False
Chicago White SoxWhite Sox‌‌‌,AL,78,2626,326,685,115,22,59,301,235,450,72,53,0.261,0.323,0.389,0.712,94,68,3.61,162,162,17,10,68,68,1449.1,1313,633,581,106,39,548,914,1.28,0.244,False,False
Cincinnati RedsReds‌‌‌,NL,79,2765,365,755,123,18,70,337,227,454,104,31,0.273,0.331,0.407,0.738,91,71,3.4,162,162,14,12,50,50,1456.1,1338,597,550,124,34,543,1029,1.29,0.246,True,True
Cleveland IndiansIndians‌‌‌,AL,82,2758,350,709,113,26,61,321,210,441,42,23,0.257,0.31,0.383,0.693,77,85,4.26,162,162,12,10,47,47,1427.1,1491,737,676,163,40,518,860,1.41,0.27,False,False
Detroit TigersTigers‌‌‌,AL,85,2883,395,747,112,18,95,375,325,476,45,30,0.259,0.336,0.409,0.745,79,83,4.39,162,162,15,12,45,45,1430.1,1401,754,697,154,45,661,856,1.44,0.259,False,False
Houston AstrosAstros‌‌‌,NL,83,2765,289,663,103,10,59,279,268,541,98,39,0.24,0.308,0.348,0.656,75,87,3.61,162,162,12,6,37,37,1450.0,1396,656,581,130,38,496,854,1.3,0.255,False,False
Kansas City RoyalsRoyals‌‌‌,AL,81,2779,362,737,152,22,45,333,253,466,62,33,0.265,0.326,0.384,0.71,75,86,3.93,161,161,18,8,33,33,1420.2,1449,709,621,116,46,560,1006,1.41,0.264,False,False
Los Angeles DodgersDodgers‌‌‌,NL,82,2752,343,707,106,16,60,320,244,479,69,35,0.257,0.318,0.372,0.69,86,76,3.72,162,162,29,12,29,29,1442.0,1364,685,596,137,28,478,1021,1.28,0.249,False,False
Milwaukee BrewersBrewers‌‌‌,AL,80,2745,403,720,150,15,64,375,277,417,82,41,0.262,0.33,0.398,0.728,74,88,4.08,162,162,23,13,42,42,1445.0,1558,760,655,121,38,469,771,1.4,0.275,False,False
Minnesota TwinsTwins‌‌‌,AL,83,2821,358,754,162,18,59,337,241,384,42,28,0.267,0.328,0.4,0.728,74,88,4.12,162,162,13,13,43,43,1435.2,1509,729,658,134,27,489,872,1.39,0.273,False,False
Montreal ExposExpos‌‌‌,NL,84,2782,343,707,144,24,56,313,328,535,128,59,0.254,0.333,0.384,0.717,85,77,3.37,162,162,18,11,50,50,1473.1,1349,598,551,127,38,510,991,1.26,0.245,False,False
New York MetsMets‌‌‌,NL,78,2695,411,712,135,10,102,387,260,397,56,18,0.264,0.33,0.435,0.765,91,71,3.43,162,162,18,14,41,41,1440.0,1339,613,548,119,27,444,1217,1.24,0.246,False,False
New York YankeesYankees‌‌‌,AL,80,2745,298,682,107,11,63,277,179,495,52,22,0.248,0.297,0.364,0.661,67,95,4.21,162,162,15,6,41,41,1444.2,1430,749,676,144,26,618,909,1.42,0.261,False,False
Oakland AthleticsAthletics‌‌‌,AL,82,2770,369,696,117,13,95,351,311,482,80,30,0.251,0.328,0.406,0.734,103,59,3.18,162,162,18,16,64,64,1456.0,1287,570,514,123,27,494,831,1.22,0.238,False,True
