TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,86,3021,438,844,153,12,79,409,310,468,59,35,0.279,0.349,0.416,0.765,84,78,4.52,162,162,9,5,39,39,1454.2,1506,794,730,202,54,605,1050,1.45,0.269,False,False
Atlanta Braves,NL,87,2971,450,842,154,20,92,429,324,583,73,30,0.283,0.356,0.442,0.798,101,61,3.18,162,162,21,17,37,37,1465.2,1319,581,518,111,31,450,1196,1.21,0.242,False,True
Baltimore Orioles,AL,85,2939,450,800,127,13,103,430,322,504,42,14,0.272,0.349,0.429,0.778,98,64,3.91,162,162,8,10,59,59,1461.0,1404,681,635,164,30,563,1139,1.35,0.253,False,True
Boston Red Sox,AL,86,3069,470,893,187,13,106,443,293,541,37,26,0.291,0.355,0.464,0.819,78,84,4.85,162,162,7,4,40,40,1451.2,1569,857,782,149,70,611,987,1.5,0.277,False,False
Chicago Cubs,NL,87,2931,373,760,160,18,64,346,264,529,62,33,0.259,0.323,0.392,0.715,68,94,4.44,162,162,6,4,37,37,1429.0,1451,759,705,185,43,590,1072,1.43,0.266,False,False
Chicago White Sox,AL,85,2911,424,802,137,13,86,407,317,499,63,31,0.276,0.347,0.42,0.767,80,81,4.73,161,161,6,7,52,52,1422.1,1505,833,748,175,32,575,961,1.46,0.271,False,False
Cincinnati Reds,NL,86,2917,332,736,147,17,61,307,275,542,113,41,0.252,0.32,0.377,0.697,76,86,4.42,162,162,5,8,49,49,1449.0,1408,764,711,173,77,558,1159,1.36,0.256,False,False
Cleveland IndiansIndians‌‌‌,AL,80,2769,459,799,153,8,115,425,335,470,62,26,0.289,0.365,0.474,0.839,86,75,4.73,161,161,4,3,39,39,1425.2,1528,815,749,181,51,575,1036,1.48,0.276,False,True
Colorado Rockies,NL,88,3030,501,857,138,22,123,472,318,558,80,38,0.283,0.357,0.465,0.822,83,79,5.25,162,162,9,5,38,38,1432.2,1697,908,836,196,67,566,870,1.58,0.3,False,False
Detroit Tigers,AL,85,2842,455,746,142,19,105,427,331,585,99,36,0.262,0.342,0.437,0.779,79,83,4.56,162,162,13,8,42,42,1445.2,1476,790,732,178,43,552,982,1.4,0.266,False,False
Florida MarlinsMarlins‌‌‌,NL,86,2876,366,743,155,16,56,345,368,551,68,38,0.258,0.347,0.382,0.729,92,70,3.83,162,162,12,10,39,39,1446.2,1353,669,615,131,63,639,1188,1.38,0.25,True,True
Houston Astros,NL,88,2964,380,751,168,17,64,350,340,571,77,40,0.253,0.335,0.386,0.721,84,78,3.67,162,162,16,12,37,37,1459.0,1379,660,595,134,52,511,1138,1.3,0.252,False,True
Kansas City Royals,AL,82,2808,380,747,129,17,73,362,283,506,82,44,0.266,0.335,0.402,0.737,67,94,4.7,161,161,11,5,29,29,1443.0,1530,820,754,186,54,531,961,1.43,0.274,False,False
Los Angeles Dodgers,NL,87,2940,365,769,137,19,87,351,267,533,59,28,0.262,0.324,0.41,0.734,88,74,3.62,162,162,6,6,45,45,1459.1,1325,645,587,163,45,546,1232,1.28,0.241,False,False
Milwaukee Brewers,AL,83,2767,372,732,155,17,66,352,269,500,48,31,0.265,0.333,0.404,0.737,78,83,4.23,161,161,6,8,44,44,1427.1,1419,742,671,177,61,542,1016,1.37,0.261,False,False
Minnesota Twins,AL,85,2958,418,817,171,20,69,394,288,566,78,27,0.276,0.343,0.418,0.761,68,94,5.0,162,162,10,4,30,30,1434.0,1596,861,796,187,33,495,908,1.46,0.283,False,False
Montreal ExposExpos‌‌‌,NL,86,2911,390,794,194,16,90,368,231,566,49,28,0.273,0.332,0.443,0.775,78,84,4.14,162,162,27,14,37,37,1447.0,1365,740,665,149,63,557,1138,1.33,0.251,False,False
New York Mets,NL,86,2926,407,784,152,16,79,389,297,516,64,39,0.268,0.337,0.412,0.749,88,74,3.95,162,162,7,8,49,49,1459.1,1452,709,640,160,47,504,982,1.34,0.262,False,False
New York Yankees,AL,85,2998,447,828,163,10,83,428,396,519,51,28,0.276,0.36,0.42,0.78,96,66,3.84,162,162,11,10,51,51,1467.2,1463,688,627,144,45,532,1165,1.36,0.26,False,True
Oakland Athletics,AL,89,3045,436,790,148,9,118,406,375,644,37,19,0.259,0.343,0.43,0.773,65,97,5.49,162,162,2,1,38,38,1445.1,1734,946,881,197,64,642,953,1.64,0.301,False,False
Philadelphia Phillies,NL,85,2847,306,700,164,17,58,285,268,521,41,26,0.246,0.312,0.377,0.689,68,94,4.85,162,162,13,7,35,35,1420.1,1441,840,765,171,58,616,1209,1.45,0.265,False,False
Pittsburgh Pirates,NL,86,2890,366,731,145,36,63,346,263,628,83,27,0.253,0.324,0.393,0.717,79,83,4.28,162,162,6,8,41,41,1436.0,1503,760,683,143,64,560,1080,1.44,0.271,False,False
San Diego Padres,NL,87,3034,440,825,155,7,85,423,309,588,69,30,0.272,0.341,0.412,0.753,76,86,4.98,162,162,5,2,43,43,1450.0,1581,891,803,172,61,596,1059,1.5,0.28,False,False
San Francisco Giants,NL,87,2886,383,739,138,18,89,369,326,616,55,29,0.256,0.334,0.409,0.743,90,72,4.42,162,162,5,9,45,45,1446.0,1494,793,710,160,39,578,1044,1.43,0.27,False,True
Seattle Mariners,AL,87,3020,509,865,182,8,139,487,339,559,53,22,0.286,0.362,0.49,0.852,90,72,4.78,162,162,9,8,38,38,1447.2,1500,833,769,192,66,598,1207,1.45,0.267,False,True
St. Louis Cardinals,NL,86,2921,367,766,154,24,67,346,288,611,94,35,0.262,0.331,0.4,0.731,73,89,3.88,162,162,5,3,39,39,1455.2,1422,708,628,124,59,536,1130,1.35,0.259,False,False
Texas Rangers,AL,85,2941,422,813,173,15,95,403,279,550,35,18,0.276,0.339,0.442,0.781,77,85,4.7,162,162,8,9,33,33,1429.2,1598,823,747,169,38,541,925,1.5,0.283,False,False
Toronto Blue Jays,AL,83,2809,316,682,145,19,68,305,250,566,82,26,0.243,0.308,0.381,0.689,76,86,3.92,162,162,19,16,34,34,1442.2,1453,694,628,167,39,497,1150,1.35,0.263,False,False
