TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Atlanta Braves,NL,89,2980,363,739,143,14,78,332,297,498,69,32,0.248,0.318,0.384,0.702,104,58,3.14,162,162,18,16,46,46,1455.0,1297,559,507,101,22,480,1036,1.22,0.24,False,True
Baltimore Orioles,AL,88,2995,398,780,162,11,71,369,350,507,47,33,0.26,0.34,0.393,0.733,85,77,4.31,162,162,21,10,42,42,1442.2,1427,745,691,153,38,579,900,1.39,0.261,False,False
Boston Red Sox,AL,87,2909,375,772,158,15,55,351,280,447,39,22,0.265,0.334,0.387,0.721,80,82,3.78,162,162,9,11,44,44,1452.1,1379,698,610,127,48,552,997,1.33,0.252,False,False
California AngelsAngels‌‌‌,AL,86,2854,385,736,142,12,61,359,325,473,95,63,0.258,0.335,0.38,0.715,71,91,4.34,162,162,26,6,41,41,1430.1,1482,770,690,153,51,550,843,1.42,0.27,False,False
Chicago Cubs,NL,87,2986,374,817,131,21,79,358,198,463,52,24,0.274,0.319,0.411,0.73,84,78,4.18,163,163,8,5,56,56,1449.2,1514,739,673,153,43,470,905,1.37,0.273,False,False
Chicago White Sox,AL,86,2914,422,780,111,26,89,400,329,438,56,35,0.268,0.341,0.415,0.756,94,68,3.7,162,162,16,11,48,48,1454.0,1398,664,598,125,40,566,974,1.35,0.255,False,True
Cincinnati Reds,NL,90,3105,411,859,150,13,79,390,277,537,90,28,0.277,0.336,0.41,0.746,73,89,4.51,162,162,11,8,37,37,1434.0,1510,785,718,158,44,508,996,1.41,0.272,False,False
Cleveland IndiansIndians‌‌‌,AL,88,3010,413,824,146,18,82,397,225,460,71,34,0.274,0.327,0.416,0.743,76,86,4.58,162,162,7,8,45,45,1445.2,1591,813,735,182,39,591,888,1.51,0.281,False,False
Colorado Rockies,NL,87,2943,400,802,149,25,68,374,206,468,82,55,0.273,0.323,0.409,0.732,67,95,5.41,162,162,9,0,35,35,1431.1,1664,967,861,181,41,609,913,1.59,0.294,False,False
Detroit Tigers,AL,88,3073,506,836,159,23,105,480,415,625,63,37,0.272,0.358,0.441,0.799,85,77,4.65,162,162,11,7,36,36,1436.2,1547,837,742,188,48,542,828,1.45,0.276,False,False
