TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,95,3184,420,792,177,26,91,400,331,730,31,16,0.249,0.323,0.406,0.729,82,80,3.98,162,162,6,9,39,62,1434.2,1403,706,635,147,68,451,1229,1.29,0.256,False,False
Atlanta Braves,NL,95,3268,421,865,165,21,91,404,359,600,31,14,0.265,0.34,0.412,0.752,72,90,4.46,162,162,2,7,26,44,1440.2,1439,778,714,156,42,586,1076,1.41,0.263,False,False
Baltimore Orioles,AL,94,3233,440,836,181,20,101,420,320,604,58,28,0.259,0.327,0.421,0.748,68,93,5.13,161,161,4,4,35,59,1422.0,1538,869,810,184,80,687,922,1.56,0.277,False,False
Boston Red Sox,AL,97,3328,495,940,205,16,108,468,361,625,78,22,0.282,0.356,0.451,0.807,95,67,4.01,162,162,5,16,47,69,1446.1,1369,694,645,147,68,548,1185,1.33,0.25,False,True
Chicago Cubs,NL,95,3317,507,933,191,12,107,478,384,701,53,23,0.281,0.36,0.443,0.803,97,64,3.87,161,161,2,8,44,68,1450.2,1329,671,624,160,65,548,1264,1.29,0.242,False,True
Chicago White Sox,AL,95,3244,465,858,173,8,129,454,330,580,42,19,0.264,0.337,0.442,0.779,89,74,4.06,163,163,4,10,34,52,1457.2,1471,729,658,156,48,460,1147,1.32,0.261,False,True
Cincinnati Reds,NL,96,3238,416,802,161,12,108,396,355,662,61,30,0.248,0.325,0.405,0.73,74,88,4.55,162,162,2,6,34,55,1442.1,1542,800,729,201,67,557,1227,1.46,0.275,False,False
Cleveland IndiansIndians‌‌‌,AL,94,3174,426,792,183,11,93,413,300,681,47,15,0.25,0.323,0.402,0.725,81,81,4.45,162,162,10,13,31,51,1437.0,1530,761,711,170,51,444,986,1.37,0.273,False,False
Colorado Rockies,NL,96,3286,419,848,187,17,91,401,338,693,78,21,0.258,0.331,0.408,0.739,74,88,4.77,162,162,3,8,36,59,1446.0,1547,822,766,148,53,562,1041,1.46,0.276,False,False
Detroit Tigers,AL,94,3249,449,881,171,20,104,430,318,575,33,16,0.271,0.338,0.432,0.77,74,88,4.9,162,162,1,2,34,62,1445.0,1541,857,786,172,68,644,991,1.51,0.274,False,False
Florida MarlinsMarlins‌‌‌,NL,95,3276,462,838,171,15,135,446,292,802,46,16,0.256,0.321,0.441,0.762,84,77,4.43,161,161,2,8,36,60,1435.1,1421,767,707,161,58,586,1127,1.4,0.258,False,False
Houston Astros,NL,95,3257,414,847,178,10,96,396,280,586,84,31,0.26,0.321,0.409,0.73,86,75,4.36,161,161,4,13,48,65,1425.1,1453,743,691,197,50,492,1095,1.36,0.264,False,False
Kansas City Royals,AL,96,3317,397,873,177,13,69,371,231,593,49,25,0.263,0.315,0.387,0.702,75,87,4.48,162,162,2,8,44,60,1445.2,1473,781,720,159,41,515,1085,1.38,0.264,False,False
Los Angeles Angels,AL,95,3216,409,826,145,14,83,386,270,596,70,25,0.257,0.318,0.388,0.706,100,62,3.99,162,162,7,10,66,89,1451.1,1455,697,644,160,63,457,1106,1.32,0.261,False,True
Los Angeles Dodgers,NL,95,3197,390,810,156,16,65,361,303,600,86,25,0.253,0.321,0.373,0.694,84,78,3.68,162,162,5,11,35,55,1447.1,1381,648,591,123,48,480,1205,1.29,0.251,False,True
Milwaukee Brewers,NL,95,3237,440,821,187,16,124,425,302,691,67,22,0.254,0.323,0.436,0.759,90,72,3.85,162,162,12,10,45,71,1455.2,1415,689,623,175,42,528,1110,1.33,0.256,False,True
Minnesota Twins,AL,95,3282,464,911,175,28,65,443,289,573,55,28,0.278,0.336,0.407,0.743,88,75,4.16,163,163,5,10,42,65,1459.0,1568,745,675,183,31,406,995,1.35,0.274,False,False
New York Mets,NL,95,3294,460,868,159,19,88,432,365,587,91,21,0.264,0.338,0.403,0.741,89,73,4.07,162,162,5,12,43,72,1464.1,1415,715,662,163,70,590,1181,1.37,0.254,False,False
New York Yankees,AL,95,3239,436,863,180,12,90,425,315,547,60,22,0.266,0.338,0.413,0.751,89,73,4.28,162,162,1,11,42,51,1441.2,1478,727,685,143,51,489,1141,1.36,0.266,False,False
Oakland Athletics,AL,95,3233,410,806,170,14,70,386,344,703,50,15,0.249,0.323,0.376,0.699,75,86,4.01,161,161,4,7,33,52,1435.0,1364,690,640,135,54,576,1061,1.35,0.253,False,False
Philadelphia Phillies,NL,96,3303,481,850,173,20,132,461,359,655,81,11,0.257,0.335,0.442,0.777,92,70,3.88,162,162,4,11,47,62,1449.2,1444,680,625,160,57,533,1081,1.36,0.26,True,True
Pittsburgh Pirates,NL,94,3295,460,863,191,11,98,443,287,604,25,10,0.262,0.325,0.416,0.741,67,95,5.08,162,162,3,7,34,56,1455.0,1631,884,822,176,49,657,963,1.57,0.286,False,False
San Diego Padres,NL,95,3273,350,806,151,18,86,335,301,743,25,10,0.246,0.314,0.382,0.696,63,99,4.41,162,162,3,6,30,56,1458.1,1466,764,714,165,38,561,1100,1.39,0.263,False,False
San Francisco Giants,NL,95,3250,382,828,196,23,57,361,293,638,74,28,0.255,0.32,0.382,0.702,72,90,4.38,162,162,4,12,41,60,1442.0,1416,759,701,147,70,652,1240,1.43,0.258,False,False
Seattle Mariners,AL,95,3269,374,831,155,8,70,352,271,493,67,18,0.254,0.312,0.371,0.683,61,101,4.73,162,162,4,4,36,67,1435.1,1544,811,754,161,53,626,1016,1.51,0.276,False,False
St. Louis Cardinals,NL,96,3330,448,916,176,16,102,425,372,573,41,17,0.275,0.35,0.429,0.779,86,76,4.19,162,162,2,7,42,73,1454.0,1517,725,677,163,51,496,957,1.38,0.27,False,False
Tampa Bay Rays,AL,94,3184,433,828,146,17,98,413,351,694,101,33,0.26,0.336,0.409,0.745,97,65,3.82,162,162,7,12,52,68,1457.2,1349,671,618,166,46,526,1143,1.29,0.246,False,True
Texas Rangers,AL,96,3412,538,967,218,19,117,517,361,711,54,14,0.283,0.354,0.461,0.815,79,83,5.37,162,162,6,8,36,64,1442.0,1647,967,860,176,72,625,963,1.58,0.288,False,False
Toronto Blue Jays,AL,95,3218,399,837,167,18,65,375,346,553,61,23,0.26,0.336,0.384,0.72,86,76,3.49,162,162,15,13,44,56,1446.2,1330,610,561,134,67,467,1184,1.24,0.244,False,False
Washington Nationals,NL,96,3229,350,772,159,7,70,332,317,644,41,21,0.239,0.314,0.358,0.672,59,102,4.66,161,161,2,8,28,56,1434.0,1496,825,742,190,51,588,1063,1.45,0.27,False,False
