TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,87,3034,392,794,145,20,79,369,271,688,80,29,0.262,0.323,0.401,0.724,79,83,4.04,162,162,1,12,44,65,1466.2,1450,713,659,182,48,500,1215,1.33,0.258,False,False
Atlanta Braves,NL,89,3007,347,770,147,10,57,329,258,610,41,22,0.256,0.318,0.368,0.686,67,95,4.41,162,162,3,10,44,70,1425.1,1462,760,698,170,53,550,1148,1.41,0.268,False,False
Baltimore Orioles,AL,88,2938,387,750,127,17,110,370,217,717,27,14,0.255,0.31,0.422,0.732,81,81,4.05,162,162,0,10,43,58,1434.2,1406,693,646,174,54,483,1233,1.32,0.257,False,False
Boston Red Sox,AL,89,3062,376,786,135,21,84,355,277,581,39,14,0.257,0.322,0.397,0.719,78,84,4.31,162,162,3,10,40,61,1448.1,1486,753,694,178,62,478,1218,1.36,0.264,False,False
Chicago Cubs,NL,87,2944,335,704,137,15,77,318,293,799,57,21,0.239,0.315,0.374,0.689,97,65,3.36,162,162,6,21,48,67,1461.1,1276,608,546,134,46,407,1431,1.15,0.233,False,True
Chicago White Sox,AL,86,2894,292,697,123,14,60,279,187,640,28,23,0.241,0.294,0.355,0.649,76,86,3.98,162,162,7,9,37,52,1452.2,1443,701,643,162,62,474,1359,1.32,0.26,False,False
Cincinnati Reds,NL,86,2942,331,728,128,15,96,314,260,616,85,25,0.247,0.311,0.399,0.71,64,98,4.33,162,162,2,8,35,57,1453.1,1436,754,700,177,58,544,1252,1.36,0.258,False,False
Cleveland IndiansIndians‌‌‌,AL,88,2936,347,728,161,13,71,335,309,612,41,14,0.248,0.32,0.384,0.704,81,80,3.67,161,161,11,10,38,50,1432.2,1274,640,584,161,48,425,1407,1.19,0.237,False,False
Colorado Rockies,NL,88,3014,389,820,156,23,97,378,206,679,46,26,0.272,0.321,0.436,0.757,68,94,5.04,162,162,4,4,36,61,1426.1,1579,844,799,183,48,579,1112,1.51,0.283,False,False
Detroit Tigers,AL,88,3073,398,862,157,28,86,377,253,675,57,31,0.281,0.337,0.434,0.771,74,87,4.64,161,161,7,12,35,59,1447.0,1491,803,746,193,46,489,1100,1.37,0.268,False,False
