TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,87,3002,374,780,134,12,89,358,281,529,58,23,0.26,0.329,0.401,0.73,75,87,4.2,162,162,6,1,43,60,1437.2,1452,730,671,168,64,525,947,1.38,0.263,False,False
Arizona DiamondbacksDiamondbacks‌‌‌,NL,87,3011,446,798,135,19,118,428,303,551,33,19,0.265,0.338,0.44,0.778,92,70,3.87,162,162,12,13,34,50,1459.2,1352,677,627,195,59,461,1297,1.24,0.247,True,True
Atlanta BravesBraves‌‌‌,NL,87,2972,403,792,155,14,90,386,265,543,57,23,0.266,0.329,0.419,0.748,88,74,3.59,162,162,5,13,41,63,1447.1,1363,643,578,153,33,499,1133,1.29,0.25,False,True
Baltimore OriolesOrioles‌‌‌,AL,87,2933,385,745,130,11,79,373,286,511,66,29,0.254,0.328,0.387,0.715,63,98,4.67,162,162,10,6,31,50,1432.1,1504,829,744,194,74,528,938,1.42,0.269,False,False
Boston Red SoxRed Sox‌‌‌,AL,87,3059,439,840,187,20,105,423,284,609,24,12,0.275,0.34,0.452,0.792,82,79,4.15,161,161,3,9,48,69,1448.0,1412,745,667,146,93,544,1259,1.35,0.254,False,False
Chicago CubsCubs‌‌‌,NL,86,2861,401,737,146,11,104,388,308,567,33,20,0.258,0.334,0.425,0.759,88,74,4.03,162,162,8,6,41,60,1437.0,1357,701,643,164,50,550,1344,1.33,0.249,False,False
Chicago White SoxWhite Sox‌‌‌,AL,85,2877,378,746,155,12,109,362,223,501,69,34,0.259,0.316,0.435,0.751,83,79,4.55,162,162,8,7,51,71,1433.1,1465,795,725,181,88,500,921,1.37,0.266,False,False
Cincinnati RedsReds‌‌‌,NL,87,3000,387,780,155,12,83,360,242,612,68,35,0.26,0.32,0.403,0.723,66,96,4.77,162,162,2,2,35,55,1442.2,1572,850,765,198,48,515,943,1.45,0.279,False,False
Cleveland IndiansIndians‌‌‌,AL,85,2945,492,861,159,18,120,476,321,522,44,24,0.292,0.365,0.481,0.846,91,71,4.64,162,162,3,4,42,57,1446.2,1512,821,746,148,49,573,1218,1.44,0.27,False,True
Colorado RockiesRockies‌‌‌,NL,87,3068,522,898,174,23,128,500,285,559,65,30,0.293,0.356,0.49,0.846,73,89,5.29,162,162,8,8,26,50,1430.0,1522,906,841,239,64,598,1058,1.48,0.275,False,False
