TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,88,3059,479,876,165,14,141,466,321,546,57,28,0.286,0.357,0.488,0.845,82,80,5.0,162,162,5,3,46,68,1448.0,1534,869,805,228,36,662,846,1.52,0.273,False,False
Arizona DiamondbacksDiamondbacks‌‌‌,NL,88,3004,439,790,147,19,110,417,311,515,53,22,0.263,0.336,0.434,0.77,85,77,4.36,162,162,16,8,38,56,1443.2,1441,754,699,190,42,500,1220,1.34,0.262,False,False
Atlanta BravesBraves‌‌‌,NL,88,2970,451,811,146,14,109,415,337,561,70,34,0.273,0.352,0.442,0.794,95,67,4.05,162,162,13,9,53,67,1440.1,1428,714,648,165,37,484,1093,1.33,0.258,False,True
Baltimore OriolesOrioles‌‌‌,AL,86,2969,447,815,173,7,117,423,313,464,56,28,0.275,0.345,0.456,0.801,74,88,5.37,162,162,14,6,33,57,1433.1,1547,913,855,202,36,665,1017,1.54,0.275,False,False
Boston Red SoxRed Sox‌‌‌,AL,84,2937,440,805,168,15,98,416,330,553,22,21,0.274,0.349,0.442,0.791,85,77,4.23,162,162,7,12,46,65,1452.2,1433,745,683,173,58,498,1121,1.33,0.257,False,False
Chicago CubsCubs‌‌‌,NL,86,2982,426,773,154,10,117,400,335,611,48,25,0.259,0.338,0.435,0.773,65,97,5.25,162,162,10,5,39,68,1454.2,1505,904,849,231,62,658,1143,1.49,0.268,False,False
Chicago White SoxWhite Sox‌‌‌,AL,87,3057,534,875,180,26,128,506,316,543,51,26,0.286,0.355,0.488,0.843,95,67,4.67,162,162,5,7,43,67,1450.1,1509,839,752,195,54,614,1037,1.46,0.27,False,True
Cincinnati RedsReds‌‌‌,NL,88,3052,441,822,156,14,113,421,321,529,55,22,0.269,0.343,0.441,0.784,85,77,4.33,163,163,8,7,42,54,1456.1,1446,765,700,190,43,659,1015,1.45,0.261,False,False
Cleveland IndiansIndians‌‌‌,AL,86,3017,476,835,162,21,132,450,347,615,59,18,0.277,0.355,0.476,0.831,90,72,4.84,162,162,6,5,34,57,1442.1,1511,816,775,173,42,666,1213,1.51,0.27,False,False
Colorado RockiesRockies‌‌‌,NL,85,2904,521,848,168,41,85,488,341,499,79,34,0.292,0.366,0.466,0.832,82,80,5.26,162,162,7,2,33,58,1430.0,1568,897,836,221,72,588,1001,1.51,0.281,False,False
Detroit TigersTigers‌‌‌,AL,84,2946,383,785,148,19,103,365,298,509,31,20,0.266,0.337,0.434,0.771,79,83,4.71,162,162,6,6,44,61,1443.1,1583,827,756,177,47,496,978,1.44,0.28,False,False
Florida MarlinsMarlins‌‌‌,NL,88,3002,400,771,152,17,97,377,308,670,94,30,0.257,0.329,0.416,0.745,79,82,4.59,161,161,5,4,48,68,1429.2,1477,797,729,169,43,650,1051,1.49,0.269,False,False
Houston AstrosAstros‌‌‌,NL,87,2958,465,770,142,16,127,441,388,630,63,29,0.26,0.353,0.448,0.801,72,90,5.42,162,162,8,2,30,55,1437.2,1596,944,865,234,60,598,1064,1.53,0.281,False,False
Kansas City RoyalsRoyals‌‌‌,AL,85,2994,453,835,143,16,93,431,288,446,67,17,0.279,0.343,0.431,0.774,77,85,5.48,162,162,10,6,29,55,1439.1,1585,930,876,239,42,693,927,1.58,0.282,False,False
Los Angeles DodgersDodgers‌‌‌,NL,86,2964,458,786,151,14,129,428,380,590,43,21,0.265,0.352,0.456,0.808,86,76,4.1,162,162,9,11,36,59,1445.0,1379,729,659,176,75,600,1154,1.37,0.252,False,False
Milwaukee BrewersBrewers‌‌‌,NL,89,3039,401,751,167,11,93,386,327,666,41,29,0.247,0.325,0.401,0.726,73,89,4.63,163,163,2,7,29,44,1466.1,1501,826,755,174,65,728,967,1.52,0.269,False,False
Minnesota TwinsTwins‌‌‌,AL,90,3109,433,832,186,29,73,408,332,560,52,25,0.268,0.339,0.417,0.756,69,93,5.16,162,162,6,4,35,54,1432.2,1634,880,821,212,35,516,1042,1.5,0.287,False,False
Montreal ExposExpos‌‌‌,NL,84,2858,418,777,174,13,101,401,254,514,34,28,0.272,0.333,0.448,0.781,67,95,5.14,162,162,4,7,39,59,1424.2,1575,902,813,181,60,579,1011,1.51,0.282,False,False
New York MetsMets‌‌‌,NL,86,2940,456,788,175,11,112,442,374,563,41,25,0.268,0.351,0.449,0.8,94,68,4.16,162,162,8,10,49,66,1450.0,1398,738,670,164,60,574,1164,1.36,0.252,False,True
New York YankeesYankees‌‌‌,AL,83,2886,441,806,154,17,100,424,291,515,60,28,0.279,0.35,0.448,0.798,87,74,4.76,161,161,9,6,40,57,1424.1,1458,814,753,177,52,577,1040,1.43,0.263,True,True
Oakland AthleticsAthletics‌‌‌,AL,86,2956,522,793,143,14,131,499,428,635,24,11,0.268,0.363,0.459,0.822,91,70,4.58,161,161,7,11,43,62,1435.1,1535,813,730,158,48,615,963,1.5,0.274,False,True
Philadelphia PhilliesPhillies‌‌‌,NL,86,2952,391,763,176,20,81,375,313,586,55,18,0.258,0.333,0.414,0.747,65,97,4.77,162,162,8,6,34,54,1438.2,1458,830,763,201,42,640,1123,1.46,0.265,False,False
Pittsburgh PiratesPirates‌‌‌,NL,86,3010,409,799,180,20,90,388,287,557,50,19,0.265,0.335,0.428,0.763,69,93,4.94,162,162,5,7,27,47,1449.0,1554,888,795,163,60,711,1070,1.56,0.277,False,False
San Diego PadresPadres‌‌‌,NL,87,2987,422,782,158,17,99,402,299,624,63,36,0.262,0.331,0.426,0.757,76,86,4.52,162,162,5,5,46,70,1459.1,1443,815,733,191,68,649,1071,1.43,0.258,False,False
