TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Anaheim AngelsAngels‌‌‌,AL,92,3122,450,844,148,20,105,422,267,470,74,36,0.27,0.332,0.431,0.763,77,85,4.28,162,162,5,9,39,52,1431.1,1444,743,680,190,76,486,980,1.35,0.261,False,False
Arizona DiamondbacksDiamondbacks‌‌‌,NL,94,3254,452,881,200,20,96,437,299,593,43,19,0.271,0.334,0.433,0.767,84,78,3.84,162,162,7,11,42,55,1455.0,1379,685,621,150,72,526,1291,1.31,0.25,False,False
Atlanta BravesBraves‌‌‌,NL,93,3232,506,891,178,16,140,487,319,522,42,10,0.276,0.343,0.471,0.814,101,61,4.1,162,162,4,7,51,71,1456.1,1425,740,663,147,42,555,992,1.36,0.257,False,True
Baltimore OriolesOrioles‌‌‌,AL,91,3204,460,884,159,13,93,430,270,494,63,22,0.276,0.336,0.421,0.757,71,91,4.76,163,163,9,3,41,62,1449.2,1579,820,767,198,80,526,981,1.45,0.278,False,False
Boston Red SoxRed Sox‌‌‌,AL,93,3377,573,992,242,30,124,551,347,528,52,16,0.294,0.36,0.493,0.853,95,67,4.48,162,162,5,6,36,57,1464.2,1503,809,729,153,76,488,1141,1.36,0.263,False,True
Chicago CubsCubs‌‌‌,NL,94,3221,417,845,184,14,97,398,306,680,44,20,0.262,0.33,0.419,0.749,88,74,3.83,162,162,13,14,36,51,1456.1,1304,683,619,143,71,617,1404,1.32,0.241,False,True
Chicago White SoxWhite Sox‌‌‌,AL,94,3128,393,766,166,11,107,377,317,545,37,19,0.245,0.319,0.408,0.727,86,76,4.17,162,162,12,4,36,53,1431.0,1364,715,663,162,53,518,1056,1.32,0.253,False,False
Cincinnati RedsReds‌‌‌,NL,93,3167,434,787,140,13,123,415,312,767,57,19,0.249,0.324,0.417,0.741,69,93,5.09,162,162,4,5,38,64,1446.1,1578,886,818,209,48,590,932,1.5,0.278,False,False
Cleveland IndiansIndians‌‌‌,AL,94,3220,403,815,185,12,86,377,305,605,53,29,0.253,0.321,0.398,0.719,68,94,4.21,162,162,5,7,34,59,1459.1,1477,778,682,179,64,501,943,1.36,0.264,False,False
Colorado RockiesRockies‌‌‌,NL,97,3300,535,901,197,22,117,511,397,686,34,20,0.273,0.353,0.452,0.805,74,88,5.2,162,162,3,4,34,54,1420.0,1629,892,821,200,84,552,866,1.54,0.29,False,False
Detroit TigersTigers‌‌‌,AL,92,3070,297,700,111,24,75,279,254,623,51,40,0.228,0.29,0.353,0.643,43,119,5.3,162,162,3,5,27,46,1438.2,1616,928,847,195,56,557,764,1.51,0.286,False,False
Florida MarlinsMarlins‌‌‌,NL,95,3258,452,863,183,31,106,431,308,559,106,41,0.265,0.331,0.438,0.769,91,71,4.04,162,162,7,11,36,49,1445.1,1415,692,648,128,40,530,1132,1.35,0.258,True,True
Houston AstrosAstros‌‌‌,NL,94,3254,473,860,185,15,108,446,322,570,41,20,0.264,0.337,0.43,0.767,87,75,3.86,162,162,1,5,50,64,1450.0,1350,677,622,161,74,565,1139,1.32,0.248,False,False
Kansas City RoyalsRoyals‌‌‌,AL,92,3167,484,863,166,19,97,448,282,525,70,24,0.272,0.338,0.429,0.767,83,79,5.05,162,162,7,10,36,64,1438.2,1569,867,808,190,66,566,865,1.48,0.279,False,False
Los Angeles DodgersDodgers‌‌‌,NL,93,3133,328,765,158,13,59,307,228,556,46,19,0.244,0.304,0.359,0.663,85,77,3.16,162,162,3,17,58,66,1457.2,1254,556,511,127,40,526,1289,1.22,0.234,False,False
Milwaukee BrewersBrewers‌‌‌,NL,93,3249,429,831,137,15,116,413,320,718,58,24,0.256,0.328,0.414,0.742,68,94,5.02,162,162,5,3,44,71,1452.0,1590,873,810,219,61,575,1034,1.49,0.279,False,False
Minnesota TwinsTwins‌‌‌,AL,93,3261,431,896,176,30,94,413,272,607,48,26,0.275,0.334,0.434,0.768,90,72,4.41,162,162,7,8,45,64,1462.0,1526,758,716,187,50,402,997,1.32,0.268,False,True
Montreal ExposExpos‌‌‌,NL,94,3155,427,821,169,12,87,407,314,555,61,24,0.26,0.33,0.404,0.734,83,79,4.01,162,162,15,10,42,60,1437.2,1467,716,640,181,71,463,1028,1.34,0.264,False,False
New York MetsMets‌‌‌,NL,93,3102,389,771,163,13,84,367,294,586,28,23,0.249,0.316,0.391,0.707,66,95,4.48,161,161,3,10,38,53,1413.1,1497,754,704,168,45,576,907,1.47,0.273,False,False
New York YankeesYankees‌‌‌,AL,93,3260,505,878,177,10,131,487,417,603,56,16,0.269,0.357,0.45,0.807,101,61,4.02,163,163,8,12,49,67,1462.0,1512,716,653,145,49,375,1119,1.29,0.265,False,True
Oakland AthleticsAthletics‌‌‌,AL,93,3143,428,796,185,13,96,408,322,489,24,7,0.253,0.325,0.412,0.737,96,66,3.63,162,162,16,14,48,60,1441.2,1336,643,582,140,54,499,1018,1.27,0.246,False,True
Philadelphia PhilliesPhillies‌‌‌,NL,92,3142,438,801,189,13,89,413,393,668,34,17,0.255,0.341,0.408,0.749,86,76,4.04,162,162,9,13,33,51,1443.2,1386,697,648,142,77,536,1060,1.33,0.253,False,False
Pittsburgh PiratesPirates‌‌‌,NL,91,3144,405,811,153,18,83,381,289,593,49,17,0.258,0.328,0.397,0.725,75,87,4.64,162,162,7,10,44,68,1444.1,1527,801,744,178,61,502,926,1.4,0.272,False,False
San Diego PadresPadres‌‌‌,NL,96,3274,408,853,152,15,81,388,332,619,45,27,0.261,0.332,0.39,0.722,64,98,4.87,162,162,2,10,31,49,1431.1,1458,831,774,208,62,611,1091,1.45,0.264,False,False
San Francisco GiantsGiants‌‌‌,NL,94,3233,446,857,167,22,112,420,350,545,38,20,0.265,0.339,0.434,0.773,100,61,3.73,161,161,7,10,43,60,1437.1,1349,638,595,136,43,546,1006,1.32,0.25,False,True
Seattle MarinersMariners‌‌‌,AL,93,3202,469,891,168,20,90,448,329,569,61,21,0.278,0.348,0.428,0.776,93,69,3.76,162,162,8,15,38,52,1441.0,1340,637,602,173,54,466,1001,1.25,0.247,False,False
St. Louis CardinalsCardinals‌‌‌,NL,94,3354,533,964,212,21,123,504,324,528,45,21,0.287,0.355,0.473,0.828,85,77,4.6,162,162,9,10,41,71,1463.2,1544,796,748,210,65,508,969,1.4,0.271,False,False
Tampa Bay Devil RaysDevil Rays‌‌‌,AL,92,3205,387,849,179,22,68,366,235,590,72,26,0.265,0.319,0.398,0.717,63,99,4.93,162,162,7,7,30,55,1436.2,1454,852,787,196,95,639,877,1.46,0.264,False,False
Texas RangersRangers‌‌‌,AL,93,3248,462,875,159,20,136,445,281,609,32,16,0.269,0.334,0.456,0.79,71,91,5.67,162,162,4,3,43,63,1433.1,1625,969,903,208,63,603,1009,1.55,0.288,False,False
Toronto Blue JaysBlue Jays‌‌‌,AL,95,3360,556,971,229,20,122,538,293,633,14,15,0.289,0.351,0.478,0.829,86,76,4.69,162,162,13,6,35,52,1435.0,1560,826,748,184,57,485,984,1.43,0.276,False,False
