TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona Diamondbacks,NL,92,3127,381,723,159,17,82,358,307,834,22,10,0.231,0.306,0.372,0.678,52,110,5.11,162,162,3,4,22,50,1417.1,1480,893,804,232,75,555,1238,1.44,0.267,False,False
Atlanta Braves,NL,89,2916,420,695,152,12,123,403,327,835,42,15,0.238,0.322,0.425,0.747,88,73,3.88,161,161,2,18,40,67,1410.2,1237,656,608,183,66,516,1417,1.24,0.234,True,True
Baltimore Orioles,AL,89,2973,364,704,145,8,101,352,256,791,27,10,0.237,0.302,0.393,0.695,52,110,5.84,162,162,1,5,26,54,1402.0,1518,956,910,258,68,563,1234,1.48,0.273,False,False
Boston Red Sox,AL,91,3090,464,799,193,10,115,435,261,788,31,13,0.259,0.322,0.439,0.761,92,70,4.26,162,162,0,7,49,76,1419.0,1409,749,671,176,79,546,1527,1.38,0.258,False,True
Chicago Cubs,NL,90,2911,378,660,114,16,114,361,288,870,46,21,0.227,0.305,0.394,0.699,71,91,4.87,162,162,1,8,40,59,1412.2,1386,839,765,235,98,596,1358,1.4,0.255,False,False
Chicago White Sox,AL,89,2917,456,751,155,17,92,428,343,786,36,17,0.257,0.341,0.417,0.758,93,69,3.73,162,162,4,13,43,68,1403.1,1205,636,581,182,51,485,1588,1.2,0.229,False,True
Cincinnati Reds,NL,90,3026,435,753,151,7,113,415,308,798,24,18,0.249,0.33,0.415,0.745,83,79,4.4,162,162,1,8,41,66,1434.1,1330,760,702,206,64,617,1524,1.36,0.244,False,False
Cleveland IndiansIndians‌‌‌,AL,87,2822,379,647,127,13,108,360,247,731,43,8,0.229,0.298,0.398,0.696,80,82,4.34,162,162,0,9,39,58,1408.0,1281,727,679,216,59,522,1391,1.28,0.24,False,False
Colorado Rockies,NL,91,3004,390,735,153,21,84,368,276,756,53,13,0.245,0.312,0.393,0.705,74,87,4.82,161,161,3,6,33,63,1397.0,1397,796,748,196,63,539,1269,1.39,0.26,False,False
Detroit Tigers,AL,91,2988,378,704,116,18,100,366,296,908,56,16,0.236,0.307,0.387,0.694,77,85,4.32,162,162,2,7,42,66,1419.2,1370,756,681,199,82,571,1259,1.37,0.252,False,False
