TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Atlanta Braves,NL,79,2676,364,703,123,20,66,343,250,427,96,45,0.263,0.328,0.398,0.726,94,68,3.49,162,162,18,7,48,48,1452.2,1304,644,563,118,28,481,969,1.23,0.24,False,True
Baltimore Orioles,AL,80,2753,341,706,125,9,84,328,290,483,27,23,0.256,0.33,0.4,0.73,67,95,4.59,162,162,8,8,42,42,1457.2,1534,796,743,147,28,504,868,1.4,0.273,False,False
Boston Red Sox,AL,80,2708,358,722,145,9,62,344,300,388,29,14,0.267,0.34,0.395,0.735,84,78,4.01,162,162,15,13,45,45,1439.2,1405,712,642,147,31,530,999,1.34,0.257,False,False
California AngelsAngels‌‌‌,AL,81,2770,369,731,121,20,60,340,219,466,46,18,0.264,0.322,0.387,0.709,81,81,3.69,162,162,18,10,50,50,1441.2,1351,649,591,141,38,543,990,1.31,0.25,False,False
Chicago Cubs,NL,82,2857,363,741,123,12,89,341,218,442,61,35,0.259,0.315,0.404,0.719,77,83,4.03,160,160,12,4,40,40,1456.2,1415,734,653,117,28,542,927,1.34,0.257,False,False
Chicago White Sox,AL,80,2796,329,718,106,17,58,318,278,452,74,27,0.257,0.325,0.369,0.694,87,75,3.79,162,162,28,8,40,40,1478.0,1302,681,622,154,31,601,923,1.29,0.239,False,False
Cincinnati Reds,NL,80,2671,335,687,123,17,81,318,270,477,72,26,0.257,0.328,0.407,0.735,74,88,3.83,162,162,7,11,43,43,1440.0,1372,691,613,127,28,560,997,1.34,0.253,False,False
Cleveland IndiansIndians‌‌‌,AL,79,2657,261,664,105,12,41,248,229,402,38,29,0.25,0.313,0.345,0.658,57,105,4.23,162,162,22,8,33,33,1441.1,1551,759,678,110,39,441,862,1.38,0.276,False,False
Detroit Tigers,AL,81,2730,400,657,117,14,103,381,344,565,52,24,0.241,0.327,0.407,0.734,84,78,4.49,162,162,18,8,38,38,1450.1,1570,794,724,148,24,593,739,1.49,0.281,False,False
Houston Astros,NL,81,2744,280,666,115,20,40,263,270,486,60,40,0.243,0.311,0.343,0.654,65,97,4.0,162,162,7,13,36,36,1453.0,1347,717,646,129,29,651,1033,1.38,0.247,False,False
Kansas City Royals,AL,80,2762,365,724,137,17,69,351,238,474,50,31,0.262,0.321,0.399,0.72,82,80,3.92,162,162,17,12,41,41,1466.0,1473,722,638,105,43,529,1004,1.37,0.261,False,False
Los Angeles Dodgers,NL,80,2677,346,684,95,12,49,312,287,471,66,32,0.256,0.327,0.355,0.682,93,69,3.06,162,162,15,14,40,40,1458.0,1312,565,496,96,28,500,1028,1.24,0.241,False,False
Milwaukee Brewers,AL,80,2752,370,708,124,22,63,350,265,431,53,34,0.257,0.323,0.387,0.71,83,79,4.14,162,162,23,11,41,41,1463.2,1498,744,674,147,45,527,859,1.38,0.266,False,False
Minnesota Twins,AL,83,2808,358,756,129,19,71,338,267,360,48,34,0.269,0.335,0.405,0.74,95,67,3.69,162,162,21,12,53,53,1449.1,1402,652,595,139,27,488,876,1.3,0.255,True,True
Montreal ExposExpos‌‌‌,NL,82,2753,290,667,119,16,47,265,277,546,127,65,0.242,0.312,0.348,0.66,71,90,3.64,161,161,12,14,39,39,1440.1,1304,655,583,111,32,584,909,1.31,0.244,False,False
New York Mets,NL,80,2645,355,647,137,12,66,334,331,374,94,39,0.245,0.328,0.38,0.708,77,84,3.56,161,161,12,11,39,39,1437.1,1403,646,568,108,25,410,1028,1.26,0.257,False,False
New York Yankees,AL,78,2694,353,699,117,7,89,335,238,440,42,15,0.259,0.321,0.407,0.728,71,91,4.42,162,162,3,11,37,37,1444.0,1510,777,709,152,42,506,936,1.4,0.271,False,False
Oakland Athletics,AL,82,2716,401,691,131,11,85,380,384,470,80,36,0.254,0.349,0.405,0.754,84,78,4.57,162,162,14,10,49,49,1444.1,1425,776,734,155,55,655,892,1.44,0.26,False,False
Philadelphia Phillies,NL,82,2813,315,672,117,17,51,299,247,507,39,15,0.239,0.3,0.347,0.647,78,84,3.86,162,162,16,11,35,35,1463.0,1346,680,628,111,43,670,988,1.38,0.246,False,False
Pittsburgh Pirates,NL,79,2617,346,660,113,25,60,328,283,420,58,24,0.252,0.326,0.383,0.709,98,64,3.44,162,162,18,11,51,51,1456.2,1411,632,557,117,30,401,919,1.24,0.256,False,True
San Diego Padres,NL,83,2801,318,700,103,23,56,297,273,531,48,37,0.25,0.318,0.363,0.681,84,78,3.57,162,162,14,11,47,47,1452.2,1385,646,577,139,13,457,921,1.27,0.252,False,False
San Francisco Giants,NL,81,2742,311,669,103,25,72,292,227,477,52,29,0.244,0.304,0.379,0.683,75,87,4.03,162,162,10,10,45,45,1442.0,1397,697,646,143,36,544,905,1.35,0.257,False,False
Seattle Mariners,AL,82,2748,324,662,114,12,59,305,303,394,53,24,0.241,0.318,0.356,0.674,83,79,3.79,162,162,10,13,48,48,1464.1,1387,674,616,136,47,628,1003,1.38,0.253,False,False
St. Louis Cardinals,NL,81,2737,351,723,120,30,28,324,286,393,105,53,0.264,0.334,0.361,0.695,84,78,3.69,162,162,9,5,51,51,1435.1,1367,648,588,114,47,454,822,1.27,0.255,False,False
Texas Rangers,AL,77,2745,400,755,138,16,78,378,310,458,57,33,0.275,0.35,0.422,0.772,85,77,4.47,162,162,9,10,41,41,1479.0,1486,814,734,151,45,662,1022,1.45,0.262,False,False
Toronto Blue Jays,AL,83,2781,339,726,156,29,60,320,264,509,74,29,0.261,0.328,0.403,0.731,91,71,3.5,162,162,10,16,60,60,1462.2,1301,622,569,121,43,523,971,1.25,0.238,False,True
