TEAM,LEAGUE,H_G,H_AB,H_R,H_H,H_2B,H_3B,H_HR,H_RBI,H_BB,H_SO,H_SB,H_CS,H_AVG,H_OBP,H_SLG,H_OPS,P_W,P_L,P_ERA,P_G,P_GS,P_CG,P_SHO,P_SV,P_SVO,P_IP,P_H,P_R,P_ER,P_HR,P_HB,P_BB,P_SO,P_WHIP,P_AVG,WON_WORLD_SERIES,MADE_PLAYOFFS
Arizona DiamondbacksD-backs‌‌‌,NL,89,3061,395,756,172,25,88,373,332,700,69,24,0.247,0.323,0.406,0.729,70,92,4.42,162,162,4,12,36,55,1447.2,1470,782,711,168,53,525,1158,1.38,0.263,False,False
Atlanta BravesBraves‌‌‌,NL,88,3009,373,785,176,14,68,356,307,531,30,10,0.261,0.332,0.396,0.728,86,76,3.57,162,162,3,10,38,60,1462.2,1399,641,581,119,49,530,1232,1.32,0.254,False,False
Baltimore OriolesOrioles‌‌‌,AL,88,3028,408,809,162,11,89,389,277,518,43,26,0.267,0.33,0.416,0.746,64,98,5.15,162,162,2,3,31,53,1429.0,1633,876,817,218,51,546,933,1.52,0.288,False,False
Boston Red SoxRed Sox‌‌‌,AL,88,3001,465,796,192,16,108,440,371,618,75,24,0.265,0.352,0.448,0.8,95,67,4.35,162,162,8,11,41,59,1436.2,1494,736,695,167,68,530,1230,1.41,0.267,False,True
Chicago CubsCubs‌‌‌,NL,86,2926,355,723,143,11,93,338,305,637,32,19,0.247,0.322,0.399,0.721,83,78,3.84,161,161,3,8,40,58,1445.1,1329,672,616,160,59,586,1272,1.32,0.246,False,False
Chicago White SoxWhite Sox‌‌‌,AL,88,2956,407,778,137,11,103,392,289,559,59,29,0.263,0.333,0.422,0.755,79,83,4.14,162,162,4,11,36,54,1439.2,1438,732,663,169,41,507,1119,1.35,0.261,False,False
Cincinnati RedsReds‌‌‌,NL,87,2948,356,732,147,16,81,338,281,574,51,22,0.248,0.318,0.391,0.709,78,84,4.18,162,162,6,12,41,53,1458.1,1420,723,677,188,65,577,1069,1.37,0.258,False,False
Cleveland IndiansIndians‌‌‌,AL,89,3049,451,793,170,11,99,421,353,681,48,17,0.26,0.345,0.42,0.765,65,97,5.06,162,162,5,6,25,43,1434.0,1570,865,806,183,45,598,986,1.51,0.28,False,False
Colorado RockiesRockies‌‌‌,NL,88,2941,442,762,177,24,103,420,349,664,63,28,0.259,0.339,0.441,0.78,92,70,4.22,162,162,5,7,45,61,1438.1,1427,715,675,141,46,528,1154,1.36,0.261,False,True
Detroit TigersTigers‌‌‌,AL,87,2912,418,754,127,18,104,401,277,584,44,22,0.259,0.328,0.422,0.75,86,77,4.29,163,163,4,9,42,66,1447.0,1449,745,690,182,41,594,1102,1.41,0.263,False,False
